metric_family,metric,model_name,mean,std,n
baseline,word_count,dolphin-yi-34b,23.6,4.29987079909256,10
baseline,word_count,gemma3:27b,132.4,11.23832727766904,5
baseline,type_token_ratio,dolphin-yi-34b,0.9874212184873951,0.02142175133705572,10
baseline,type_token_ratio,gemma3:27b,0.6892621171931517,0.021097663627650823,5
baseline,vader_compound,dolphin-yi-34b,0.41941000000000006,0.21848387914087491,10
baseline,vader_compound,gemma3:27b,0.18650000000000003,0.5800098921570218,5
baseline,citation_count,dolphin-yi-34b,0.0,0.0,10
baseline,citation_count,gemma3:27b,1.0,0.0,5
baseline,question_count,dolphin-yi-34b,0.0,0.0,10
baseline,question_count,gemma3:27b,2.0,0.0,5
core,confidence,dolphin-yi-34b,54.0,4.2946995755750415,10
core,confidence,gemma3:27b,,,0
core,confidence_delta_within_role,dolphin-yi-34b,-0.5,1.927248223318863,8
core,confidence_delta_within_role,gemma3:27b,,,0
core,word_count,dolphin-yi-34b,23.6,4.29987079909256,10
core,word_count,gemma3:27b,132.4,11.23832727766904,5
core,avg_sentence_length,dolphin-yi-34b,23.6,4.29987079909256,10
core,avg_sentence_length,gemma3:27b,29.21,5.009790414777848,5
core,lemma_type_token_ratio,dolphin-yi-34b,0.9947368421052631,0.016643566632465173,10
core,lemma_type_token_ratio,gemma3:27b,0.7632944791432884,0.02292288120257312,5
core,vader_compound,dolphin-yi-34b,0.41941000000000006,0.21848387914087491,10
core,vader_compound,gemma3:27b,0.18650000000000003,0.5800098921570218,5
core,evidence_density_per_1k_words,dolphin-yi-34b,0.0,0.0,10
core,evidence_density_per_1k_words,gemma3:27b,86.42392090667951,12.40070487953015,5
core,rebuttal_density_per_1k_words,dolphin-yi-34b,0.0,0.0,10
core,rebuttal_density_per_1k_words,gemma3:27b,0.0,0.0,5
core,hedge_density_per_1k_words,dolphin-yi-34b,0.0,0.0,10
core,hedge_density_per_1k_words,gemma3:27b,4.475524475524476,4.095538591425544,5
core,assertive_density_per_1k_words,dolphin-yi-34b,0.0,0.0,10
core,assertive_density_per_1k_words,gemma3:27b,0.0,0.0,5
core,strong_modal_density_per_1k_words,dolphin-yi-34b,0.0,0.0,10
core,strong_modal_density_per_1k_words,gemma3:27b,0.0,0.0,5
core,weak_modal_density_per_1k_words,dolphin-yi-34b,0.0,0.0,10
core,weak_modal_density_per_1k_words,gemma3:27b,0.0,0.0,5
core,moral_density_per_1k_words,dolphin-yi-34b,7.797792462011347,1.4229831052818744,10
core,moral_density_per_1k_words,gemma3:27b,1.2301090008839277,0.09163422591491523,5
core,stance_proxy_score,dolphin-yi-34b,-0.5,0.5270462766947299,10
core,stance_proxy_score,gemma3:27b,0.6,0.5477225575051662,5
core,assertiveness_balance,dolphin-yi-34b,0.0,0.0,10
core,assertiveness_balance,gemma3:27b,-0.0044755244755244755,0.004095538591425545,5
core,modality_balance,dolphin-yi-34b,0.0,0.0,10
core,modality_balance,gemma3:27b,0.0,0.0,5
core,lexical_overlap_prev_other_turn,dolphin-yi-34b,0.2734284077687376,0.19010213629371217,10
core,lexical_overlap_prev_other_turn,gemma3:27b,0.1515108463171745,0.022643408689653182,5
core,semantic_similarity_prev_other_turn,dolphin-yi-34b,0.6784111893184752,0.10596605512424985,9
core,semantic_similarity_prev_other_turn,gemma3:27b,0.6045765091155012,0.08317910512771785,5
core,lexical_overlap_prev_opponent_turn,dolphin-yi-34b,0.37894616977225676,0.14728671770767066,10
core,lexical_overlap_prev_opponent_turn,gemma3:27b,0.0,0.0,5
core,semantic_similarity_prev_opponent_turn,dolphin-yi-34b,0.7328873378995919,0.04877029317458912,9
core,semantic_similarity_prev_opponent_turn,gemma3:27b,,,0
core,novelty_vs_prev_turn_lexical,dolphin-yi-34b,0.7265715922312623,0.19010213629371214,10
core,novelty_vs_prev_turn_lexical,gemma3:27b,0.8484891536828254,0.02264340868965321,5
core,novelty_vs_prev_turn_semantic,dolphin-yi-34b,0.3215888106815248,0.10596605512424985,9
core,novelty_vs_prev_turn_semantic,gemma3:27b,0.3954234908844988,0.08317910512771785,5
core,novelty_vs_prev_opponent_turn_lexical,dolphin-yi-34b,0.6210538302277433,0.14728671770767063,10
core,novelty_vs_prev_opponent_turn_lexical,gemma3:27b,1.0,0.0,5
core,novelty_vs_prev_opponent_turn_semantic,dolphin-yi-34b,0.2671126621004081,0.04877029317458912,9
core,novelty_vs_prev_opponent_turn_semantic,gemma3:27b,,,0
