metric_family,metric,model_name,mean,std,n
baseline,word_count,dolphin-yi-34b,90.5,79.78005479352056,8
baseline,word_count,gemma3:27b,36.5,7.14142842854285,4
baseline,type_token_ratio,dolphin-yi-34b,0.8137904203345503,0.17277301887469654,8
baseline,type_token_ratio,gemma3:27b,0.8733380726171095,0.0577524864498683,4
baseline,vader_compound,dolphin-yi-34b,-0.429525,0.4464071580007266,8
baseline,vader_compound,gemma3:27b,-0.15589999999999998,0.3969576887612415,4
baseline,citation_count,dolphin-yi-34b,0.5,0.5345224838248488,8
baseline,citation_count,gemma3:27b,0.0,0.0,4
baseline,question_count,dolphin-yi-34b,1.0,1.0690449676496976,8
baseline,question_count,gemma3:27b,0.0,0.0,4
core,confidence,dolphin-yi-34b,52.5,6.454972243679028,4
core,confidence,gemma3:27b,53.75,4.7871355387816905,4
core,confidence_delta_within_role,dolphin-yi-34b,-3.3333333333333335,7.637626158259733,3
core,confidence_delta_within_role,gemma3:27b,3.3333333333333335,2.886751345948129,3
core,word_count,dolphin-yi-34b,90.5,79.78005479352056,8
core,word_count,gemma3:27b,36.5,7.14142842854285,4
core,avg_sentence_length,dolphin-yi-34b,22.363095238095237,8.737738412332924,8
core,avg_sentence_length,gemma3:27b,26.5,8.54400374531753,4
core,lemma_type_token_ratio,dolphin-yi-34b,0.8207624720002132,0.15725815685039024,8
core,lemma_type_token_ratio,gemma3:27b,0.9518119747899161,0.03255843635778854,4
core,vader_compound,dolphin-yi-34b,-0.429525,0.4464071580007266,8
core,vader_compound,gemma3:27b,-0.15589999999999998,0.3969576887612415,4
core,evidence_density_per_1k_words,dolphin-yi-34b,65.15609029995548,34.21549828083819,8
core,evidence_density_per_1k_words,gemma3:27b,40.95289398226165,13.681246417653364,4
core,rebuttal_density_per_1k_words,dolphin-yi-34b,0.0,0.0,8
core,rebuttal_density_per_1k_words,gemma3:27b,0.0,0.0,4
core,hedge_density_per_1k_words,dolphin-yi-34b,1.6218905472636815,3.110067316663113,8
core,hedge_density_per_1k_words,gemma3:27b,0.0,0.0,4
core,assertive_density_per_1k_words,dolphin-yi-34b,0.0,0.0,8
core,assertive_density_per_1k_words,gemma3:27b,0.0,0.0,4
core,strong_modal_density_per_1k_words,dolphin-yi-34b,0.0,0.0,8
core,strong_modal_density_per_1k_words,gemma3:27b,0.0,0.0,4
core,weak_modal_density_per_1k_words,dolphin-yi-34b,0.0,0.0,8
core,weak_modal_density_per_1k_words,gemma3:27b,0.0,0.0,4
core,moral_density_per_1k_words,dolphin-yi-34b,4.9222677774072245,4.949261580137502,8
core,moral_density_per_1k_words,gemma3:27b,4.352282044779784,0.9277768643169009,4
core,stance_proxy_score,dolphin-yi-34b,1.25,1.2817398889233114,8
core,stance_proxy_score,gemma3:27b,0.0,0.0,4
core,assertiveness_balance,dolphin-yi-34b,-0.0016218905472636816,0.0031100673166631135,8
core,assertiveness_balance,gemma3:27b,0.0,0.0,4
core,modality_balance,dolphin-yi-34b,0.0,0.0,8
core,modality_balance,gemma3:27b,0.0,0.0,4
core,lexical_overlap_prev_other_turn,dolphin-yi-34b,0.10356176417383196,0.06345382453300043,8
core,lexical_overlap_prev_other_turn,gemma3:27b,0.12868464961067852,0.041630837839007,4
core,semantic_similarity_prev_other_turn,dolphin-yi-34b,0.6901538946567324,0.13557122425109108,7
core,semantic_similarity_prev_other_turn,gemma3:27b,0.7048614821165258,0.1393932953970408,4
core,lexical_overlap_prev_opponent_turn,dolphin-yi-34b,0.029547930283224402,0.05700714172750014,8
core,lexical_overlap_prev_opponent_turn,gemma3:27b,0.12868464961067852,0.041630837839007,4
core,semantic_similarity_prev_opponent_turn,dolphin-yi-34b,0.5668080297546255,0.17084953106503079,3
core,semantic_similarity_prev_opponent_turn,gemma3:27b,0.7048614821165258,0.1393932953970408,4
core,novelty_vs_prev_turn_lexical,dolphin-yi-34b,0.896438235826168,0.06345382453300043,8
core,novelty_vs_prev_turn_lexical,gemma3:27b,0.8713153503893215,0.04163083783900697,4
core,novelty_vs_prev_turn_semantic,dolphin-yi-34b,0.3098461053432676,0.13557122425109108,7
core,novelty_vs_prev_turn_semantic,gemma3:27b,0.2951385178834742,0.1393932953970408,4
core,novelty_vs_prev_opponent_turn_lexical,dolphin-yi-34b,0.9704520697167756,0.05700714172750014,8
core,novelty_vs_prev_opponent_turn_lexical,gemma3:27b,0.8713153503893215,0.04163083783900697,4
core,novelty_vs_prev_opponent_turn_semantic,dolphin-yi-34b,0.4331919702453746,0.17084953106503079,3
core,novelty_vs_prev_opponent_turn_semantic,gemma3:27b,0.2951385178834742,0.1393932953970408,4
