model_name,metric,proponent_mean,opponent_mean,proponent_n,opponent_n,role_gap,role_gap_ci_low,role_gap_ci_high,effect_size_d
gemma3:27b,confidence,60.0,53.4,5,5,6.600000000000001,-3.2049999999999983,16.404999999999994,0.8080084763427466
gemma3:27b,confidence_delta_within_role,4.25,1.75,4,4,2.5,-6.0,17.75,0.26812446008585933
gemma3:27b,word_count,32.0,37.6,5,5,-5.600000000000001,-10.399999999999999,-0.7950000000000018,-1.4124131624548915
gemma3:27b,avg_sentence_length,32.0,33.5,5,5,-1.5,-8.400000000000002,6.700000000000003,-0.25210974204480535
gemma3:27b,lemma_type_token_ratio,0.99,0.9620731120731121,5,5,0.02792688792688791,-0.011818181818181839,0.06846272246272253,0.8955155848504374
gemma3:27b,vader_compound,0.03474000000000003,-0.16582,5,5,0.20056000000000002,-0.29155699999999996,0.6988234999999999,0.5008711776372968
gemma3:27b,evidence_density_per_1k_words,14.060606060606062,36.66438933296896,5,5,-22.603783272362897,-56.09425200974698,6.859848122545397,-0.8681244030753684
gemma3:27b,rebuttal_density_per_1k_words,0.0,4.878048780487805,5,5,-4.878048780487805,-14.634146341463415,0.0,-0.7071067811865475
gemma3:27b,hedge_density_per_1k_words,19.18881118881119,4.878048780487805,5,5,14.310762408323384,-2.292341804536896,30.060606060606062,1.0635370724027962
gemma3:27b,assertive_density_per_1k_words,0.0,0.0,5,5,0.0,0.0,0.0,0.0
gemma3:27b,strong_modal_density_per_1k_words,0.0,0.0,5,5,0.0,0.0,0.0,0.0
gemma3:27b,weak_modal_density_per_1k_words,0.0,0.0,5,5,0.0,0.0,0.0,0.0
gemma3:27b,moral_density_per_1k_words,5.345108873357631,4.407967650278502,5,5,0.937141223079129,-0.015145508170857096,1.7869292634437883,1.2857927521747314
gemma3:27b,stance_proxy_score,0.2,0.2,5,5,0.0,-0.8,0.6000000000000001,0.0
gemma3:27b,assertiveness_balance,-0.01918881118881119,-0.004878048780487805,5,5,-0.014310762408323383,-0.03132727272727271,0.003695491500369549,-1.063537072402796
gemma3:27b,modality_balance,0.0,0.0,5,5,0.0,0.0,0.0,0.0
gemma3:27b,lexical_overlap_prev_other_turn,0.042621926513552136,0.15614219114219113,5,5,-0.113520264628639,-0.1588932250015994,-0.06794884753998055,-3.105892355784228
gemma3:27b,semantic_similarity_prev_other_turn,0.5312407345148926,0.6866306577835216,4,5,-0.155389923268629,-0.25197289771710124,-0.07579168070990609,-2.2710453777232384
gemma3:27b,lexical_overlap_prev_opponent_turn,0.0617849223946785,0.15614219114219113,5,5,-0.09435726874751263,-0.15428991841491838,-0.027881033600545786,-1.9037914525679716
gemma3:27b,semantic_similarity_prev_opponent_turn,0.529530833780385,0.6866306577835216,4,5,-0.1570998240031366,-0.3029419976270773,-0.042058998293338465,-1.551560858466907
gemma3:27b,novelty_vs_prev_turn_lexical,0.9573780734864478,0.8438578088578088,5,5,0.11352026462863896,0.06536005496966071,0.15510728413622504,3.1058923557842255
gemma3:27b,novelty_vs_prev_turn_semantic,0.4687592654851075,0.3133693422164784,4,5,0.1553899232686291,0.06918467048653804,0.2514234609111549,2.2710453777232407
gemma3:27b,novelty_vs_prev_opponent_turn_lexical,0.9382150776053215,0.8438578088578088,5,5,0.09435726874751271,0.030617637443856927,0.156685606060606,1.903791452567973
gemma3:27b,novelty_vs_prev_opponent_turn_semantic,0.470469166219615,0.3133693422164784,4,5,0.1570998240031366,0.03897858614055261,0.3009321597517169,1.5515608584669072
