group_name,rank,term,count,per_1k_tokens,total_tokens
dolphin-yi-34b::moderator,1,manipulation,17,31.423290203327173,541
dolphin-yi-34b::moderator,2,ca,16,29.57486136783734,541
dolphin-yi-34b::moderator,3,sa,15,27.726432532347506,541
dolphin-yi-34b::moderator,4,intent,13,24.029574861367838,541
dolphin-yi-34b::moderator,5,evidence,11,20.33271719038817,541
dolphin-yi-34b::moderator,6,algorithms,11,20.33271719038817,541
dolphin-yi-34b::moderator,7,algorithmic,10,18.484288354898336,541
dolphin-yi-34b::moderator,8,media,9,16.635859519408502,541
dolphin-yi-34b::moderator,9,social,9,16.635859519408502,541
dolphin-yi-34b::moderator,10,specific,9,16.635859519408502,541
dolphin-yi-34b::moderator,11,user,9,16.635859519408502,541
dolphin-yi-34b::moderator,12,agents,9,16.635859519408502,541
dolphin-yi-34b::moderator,13,engagement,8,14.78743068391867,541
dolphin-yi-34b::moderator,14,questions,8,14.78743068391867,541
dolphin-yi-34b::moderator,15,algorithm,7,12.939001848428836,541
dolphin-yi-34b::moderator,16,design,7,12.939001848428836,541
dolphin-yi-34b::moderator,17,cognitive,6,11.090573012939002,541
dolphin-yi-34b::moderator,18,vulnerabilities,6,11.090573012939002,541
dolphin-yi-34b::moderator,19,psychology,6,11.090573012939002,541
dolphin-yi-34b::moderator,20,argues,6,11.090573012939002,541
dolphin-yi-34b::moderator,21,content,5,9.242144177449168,541
dolphin-yi-34b::moderator,22,moderator,5,9.242144177449168,541
dolphin-yi-34b::moderator,23,manipulative,5,9.242144177449168,541
dolphin-yi-34b::moderator,24,moves,5,9.242144177449168,541
dolphin-yi-34b::moderator,25,disagreements,5,9.242144177449168,541
dolphin-yi-34b::opponent,1,manipulation,9,56.60377358490566,159
dolphin-yi-34b::opponent,2,based,6,37.735849056603776,159
dolphin-yi-34b::opponent,3,engagement,6,37.735849056603776,159
dolphin-yi-34b::opponent,4,evidence,5,31.446540880503143,159
dolphin-yi-34b::opponent,5,inherently,5,31.446540880503143,159
dolphin-yi-34b::opponent,6,conflates,5,31.446540880503143,159
dolphin-yi-34b::opponent,7,intent,5,31.446540880503143,159
dolphin-yi-34b::opponent,8,algorithms,4,25.157232704402517,159
dolphin-yi-34b::opponent,9,optimization,4,25.157232704402517,159
dolphin-yi-34b::opponent,10,profit,4,25.157232704402517,159
dolphin-yi-34b::opponent,11,design,3,18.867924528301888,159
dolphin-yi-34b::opponent,12,exploiting,3,18.867924528301888,159
dolphin-yi-34b::opponent,13,direct,3,18.867924528301888,159
dolphin-yi-34b::opponent,14,influence,3,18.867924528301888,159
dolphin-yi-34b::opponent,15,argues,3,18.867924528301888,159
dolphin-yi-34b::opponent,16,algorithmic,3,18.867924528301888,159
dolphin-yi-34b::opponent,17,maximizing,3,18.867924528301888,159
dolphin-yi-34b::opponent,18,leads,3,18.867924528301888,159
dolphin-yi-34b::opponent,19,popularity,3,18.867924528301888,159
dolphin-yi-34b::opponent,20,opponent,3,18.867924528301888,159
dolphin-yi-34b::opponent,21,assumes,3,18.867924528301888,159
dolphin-yi-34b::opponent,22,providing,3,18.867924528301888,159
dolphin-yi-34b::opponent,23,vulnerabilities,3,18.867924528301888,159
dolphin-yi-34b::opponent,24,relevance,3,18.867924528301888,159
dolphin-yi-34b::opponent,25,deliberately,2,12.578616352201259,159
gemma3:27b::proponent,1,intent,4,36.03603603603604,111
gemma3:27b::proponent,2,agent,3,27.027027027027028,111
gemma3:27b::proponent,3,manipulation,3,27.027027027027028,111
gemma3:27b::proponent,4,algorithmic,3,27.027027027027028,111
gemma3:27b::proponent,5,scientific,3,27.027027027027028,111
gemma3:27b::proponent,6,proving,3,27.027027027027028,111
gemma3:27b::proponent,7,consistent,2,18.01801801801802,111
gemma3:27b::proponent,8,creating,2,18.01801801801802,111
gemma3:27b::proponent,9,engagement,2,18.01801801801802,111
gemma3:27b::proponent,10,functions,2,18.01801801801802,111
gemma3:27b::proponent,11,insistence,2,18.01801801801802,111
gemma3:27b::proponent,12,manipulative,2,18.01801801801802,111
gemma3:27b::proponent,13,ignores,2,18.01801801801802,111
gemma3:27b::proponent,14,demonstrably,2,18.01801801801802,111
gemma3:27b::proponent,15,behavior,2,18.01801801801802,111
gemma3:27b::proponent,16,anomalies,2,18.01801801801802,111
gemma3:27b::proponent,17,societal,2,18.01801801801802,111
gemma3:27b::proponent,18,regardless,2,18.01801801801802,111
gemma3:27b::proponent,19,consequences,2,18.01801801801802,111
gemma3:27b::proponent,20,critical,1,9.00900900900901,111
gemma3:27b::proponent,21,corporations,1,9.00900900900901,111
gemma3:27b::proponent,22,corporate,1,9.00900900900901,111
gemma3:27b::proponent,23,deliberately,1,9.00900900900901,111
gemma3:27b::proponent,24,deliberate,1,9.00900900900901,111
gemma3:27b::proponent,25,despite,1,9.00900900900901,111
