debate_id,claim,round,speaker_role,utterance,stance,confidence,tactic_used,tool_used,tool_query,reply_to_turn,turn_index,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_surprise_count,nrc_surprise_density,nrc_anger_count,nrc_anger_density,nrc_disgust_count,nrc_disgust_density,nrc_fear_count,nrc_fear_density,nrc_joy_count,nrc_joy_density,nrc_anticipation_count,nrc_anticipation_density,nrc_trust_count,nrc_trust_density,nrc_sadness_count,nrc_sadness_density,emotion_joy,emotion_anger,emotion_fear,emotion_sadness,emotion_surprise,emotion_love,turn_position,phase,dominant_nrc_emotion,dominant_bert_emotion
debate_e992c771e231,Social media platforms use sophisticated algorithms to deliberately manipulate user psychology and political beliefs for profit and control.,1,proponent,"Social media platforms are driven by profit and control, using algorithms to manipulate user psychology and beliefs.",pro,55.0,institutional-critique,none,,0.0,1,0.03333333333333333,0.06666666666666667,0.0,0.0,17.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4421631693840027,0.348838210105896,0.12922723591327667,0.059620652347803116,0.010555608198046684,0.009595198556780815,0.0,early,surprise,joy
debate_e992c771e231,Social media platforms use sophisticated algorithms to deliberately manipulate user psychology and political beliefs for profit and control.,1,opponent,"While it is true that social media platforms generate revenue and may influence user behavior, the assertion that they deliberately manipulate users' psychology and political beliefs solely for profit and control lacks sufficient evidence.",con,55.0,evidence-based reasoning,duckduckgo,Cambridge Analytica scandal implications for social media platforms,1.0,2,0.12777777777777777,0.2722222222222222,0.0,0.0,34.0,239.0,0.0,1.0,0.0,0.029411764705882353,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.029411764705882353,0.0,0.0,1.0,0.029411764705882353,0.0,0.0,0.06297373026609421,0.8234848380088806,0.08460364490747452,0.021671831607818604,0.004142264369875193,0.0031236023642122746,0.1111111111111111,early,joy,anger
debate_e992c771e231,Social media platforms use sophisticated algorithms to deliberately manipulate user psychology and political beliefs for profit and control.,2,proponent,Social media platforms' algorithms not only curate content based on user behavior but also subtly steer users towards specific ideologies for profit and control.,pro,54.0,anomaly-emphasis,none,,2.0,3,-0.075,0.42291666666666666,0.0,0.0,24.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.041666666666666664,0.0,0.0,1.0,0.041666666666666664,0.0,0.0,0.939735472202301,0.022674420848488808,0.00590303773060441,0.023180002346634865,0.002581912325695157,0.005925000179558992,0.2222222222222222,early,joy,joy
debate_e992c771e231,Social media platforms use sophisticated algorithms to deliberately manipulate user psychology and political beliefs for profit and control.,2,opponent,"While it is true that social media algorithms can influence user behavior, there remains a lack of direct evidence linking this to deliberate psychological manipulation and political control.",con,56.0,evidence-based reasoning,none,,4.0,4,0.09666666666666665,0.26333333333333336,0.0,0.0,28.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03571428571428571,1.0,0.03571428571428571,2.0,0.07142857142857142,1.0,0.03571428571428571,0.0,0.0,2.0,0.07142857142857142,0.0,0.0,0.0826052576303482,0.4175699055194855,0.45169126987457275,0.035831935703754425,0.008091093972325325,0.004210538696497679,0.3333333333333333,middle,fear,fear
debate_e992c771e231,Social media platforms use sophisticated algorithms to deliberately manipulate user psychology and political beliefs for profit and control.,3,proponent,Social media platforms' algorithms are not just curating content based on user behavior; they subtly steer users towards specific ideologies for profit and control.,pro,53.0,anomaly-emphasis,none,,5.0,5,-0.09999999999999999,0.23055555555555554,0.0,0.0,24.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.041666666666666664,0.0,0.0,1.0,0.041666666666666664,0.0,0.0,0.9390555024147034,0.03484516590833664,0.006063384469598532,0.014371843077242374,0.0018663328373804688,0.0037977721076458693,0.4444444444444444,middle,joy,joy
debate_e992c771e231,Social media platforms use sophisticated algorithms to deliberately manipulate user psychology and political beliefs for profit and control.,3,opponent,"While social media algorithms can influence user behavior, there remains a lack of direct evidence linking this to deliberate psychological manipulation and political control by the platforms themselves.",con,56.0,evidence-based reasoning,none,,7.0,6,0.03333333333333333,0.16666666666666666,0.0,0.0,28.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03571428571428571,1.0,0.03571428571428571,2.0,0.07142857142857142,0.0,0.0,0.0,0.0,1.0,0.03571428571428571,0.0,0.0,0.037066079676151276,0.2597709000110626,0.6496116518974304,0.042284682393074036,0.00717916339635849,0.0040875691920518875,0.5555555555555556,middle,fear,fear
debate_e992c771e231,Social media platforms use sophisticated algorithms to deliberately manipulate user psychology and political beliefs for profit and control.,4,proponent,Social media platforms must be held accountable for their algorithms' manipulative effects on user psychology and political beliefs.,pro,50.0,institutional-critique,duckduckgo,,8.0,7,0.016666666666666666,0.08333333333333334,0.0,0.0,18.0,132.0,1.0,0.0,0.05555555555555555,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05555555555555555,0.0,0.0,0.0016755058895796537,0.991773784160614,0.0033680563792586327,0.0021068667992949486,0.0003435012185946107,0.0007322528399527073,0.6666666666666666,late,trust,anger
debate_e992c771e231,Social media platforms use sophisticated algorithms to deliberately manipulate user psychology and political beliefs for profit and control.,4,opponent,"While it is true that social media algorithms can influence user behavior and beliefs, there remains a lack of direct evidence linking this to deliberate psychological manipulation and political control by the platforms themselves.",con,56.0,evidence-based reasoning,none,,10.0,8,0.09666666666666665,0.26333333333333336,0.0,0.0,34.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.029411764705882353,1.0,0.029411764705882353,2.0,0.058823529411764705,1.0,0.029411764705882353,0.0,0.0,2.0,0.058823529411764705,0.0,0.0,0.09047024697065353,0.4016932547092438,0.4579237997531891,0.0353362113237381,0.009288202039897442,0.005288327112793922,0.7777777777777778,late,fear,fear
debate_e992c771e231,Social media platforms use sophisticated algorithms to deliberately manipulate user psychology and political beliefs for profit and control.,5,proponent,"Social media platforms' algorithms are designed with profit and control in mind, leading to the manipulation of user psychology and political beliefs.",pro,49.0,institutional-critique,none,,11.0,9,0.016666666666666666,0.08333333333333334,0.0,0.0,22.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.045454545454545456,0.0,0.0,1.0,0.045454545454545456,0.0,0.0,0.0,0.0,1.0,0.045454545454545456,0.0,0.0,0.08516493439674377,0.8137833476066589,0.06240468844771385,0.03026266023516655,0.0034471359103918076,0.004937238525599241,0.8888888888888888,late,anger,anger
debate_e992c771e231,Social media platforms use sophisticated algorithms to deliberately manipulate user psychology and political beliefs for profit and control.,5,opponent,"While it is true that social media algorithms can influence user behavior and beliefs, there remains a lack of direct evidence linking this to deliberate psychological manipulation and political control by the platforms themselves.",con,57.0,evidence-based reasoning,none,,13.0,10,0.09666666666666665,0.26333333333333336,0.0,0.0,34.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.029411764705882353,1.0,0.029411764705882353,2.0,0.058823529411764705,1.0,0.029411764705882353,0.0,0.0,2.0,0.058823529411764705,0.0,0.0,0.09047024697065353,0.4016932547092438,0.4579237997531891,0.0353362113237381,0.009288202039897442,0.005288327112793922,1.0,late,fear,fear
