debate_id,claim,round,speaker_role,utterance,stance,confidence,tactic_used,tool_used,tool_query,reply_to_turn,turn_index,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_surprise_count,nrc_surprise_density,nrc_anger_count,nrc_anger_density,nrc_disgust_count,nrc_disgust_density,nrc_fear_count,nrc_fear_density,nrc_joy_count,nrc_joy_density,nrc_anticipation_count,nrc_anticipation_density,nrc_trust_count,nrc_trust_density,nrc_sadness_count,nrc_sadness_density,emotion_anger,emotion_joy,emotion_sadness,emotion_fear,emotion_love,emotion_surprise,turn_position,phase,dominant_nrc_emotion,dominant_bert_emotion
debate_12b08d34957f,The Federal Reserve is a private cartel of banks that manipulates the economy for the benefit of wealthy elites at the expense of ordinary citizens.,1,proponent,The Federal Reserve's independence from democratic oversight allows it to manipulate monetary policy for the benefit of a few at the expense of many.,pro,55.0,distrust-authority,none,0.0,0.0,1,0.15,0.3,0.0,0.0,24.0,149.0,0.0,0.0,0.0,0.0,0.0,1.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.041666666666666664,2.0,0.08333333333333333,2.0,0.08333333333333333,0.0,0.0,0.7466928958892822,0.13702014088630676,0.07387617230415344,0.029820026829838753,0.008441351354122162,0.0041493577882647514,0.0,early,anticipation,anger
debate_12b08d34957f,The Federal Reserve is a private cartel of banks that manipulates the economy for the benefit of wealthy elites at the expense of ordinary citizens.,1,opponent,"While the Federal Reserve’s structure warrants careful scrutiny, characterizing it as a ‘private cartel’ manipulating the economy for the benefit of elites lacks sufficient evidence and ignores alternative explanations for observed economic outcomes.",con,50.0,evidence-based reasoning,none,0.0,1.0,2,0.03333333333333333,0.525,0.0,0.0,34.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.058823529411764705,0.0,0.0,0.6233604550361633,0.0775090903043747,0.07166723906993866,0.21477724611759186,0.005991397425532341,0.006694515235722065,0.1111111111111111,early,trust,anger
debate_12b08d34957f,The Federal Reserve is a private cartel of banks that manipulates the economy for the benefit of wealthy elites at the expense of ordinary citizens.,2,proponent,The Federal Reserve's primary function is to protect the interests of its member banks rather than promote overall economic stability for all citizens.,pro,52.0,distrust-authority,none,0.0,2.0,3,0.20000000000000004,0.2333333333333333,0.0,0.0,23.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010830354876816273,0.967070460319519,0.012318781577050686,0.0023292929399758577,0.006082797888666391,0.0013682469725608826,0.2222222222222222,early,surprise,joy
debate_12b08d34957f,The Federal Reserve is a private cartel of banks that manipulates the economy for the benefit of wealthy elites at the expense of ordinary citizens.,2,opponent,"While member banks are stakeholders, asserting the Federal Reserve *primarily* functions to protect their interests over broader economic stability is an oversimplification unsupported by evidence and ignores the Fed’s dual mandate.",con,52.0,evidence-based reasoning,none,0.0,4.0,4,0.30000000000000004,0.35,0.0,0.0,32.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03125,0.0,0.0,0.7342409491539001,0.020911240950226784,0.18662969768047333,0.05419657379388809,0.0017658253200352192,0.0022557363845407963,0.3333333333333333,middle,trust,anger
debate_12b08d34957f,The Federal Reserve is a private cartel of banks that manipulates the economy for the benefit of wealthy elites at the expense of ordinary citizens.,3,proponent,The Federal Reserve's dual mandate allows it to prioritize the interests of its member banks over broader economic stability.,pro,49.0,distrust-authority,none,0.0,5.0,5,0.2,0.2,0.0,0.0,19.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022795548662543297,0.9543226957321167,0.011106068268418312,0.0019795249681919813,0.0074243308044970036,0.002371711889281869,0.4444444444444444,middle,surprise,joy
debate_12b08d34957f,The Federal Reserve is a private cartel of banks that manipulates the economy for the benefit of wealthy elites at the expense of ordinary citizens.,3,opponent,"The claim that the Federal Reserve’s dual mandate *allows* it to prioritize member bank interests over broader economic stability misinterprets the mandate’s function and lacks supporting evidence. The mandate aims for *both* maximum employment and stable prices – these are not mutually exclusive, and often reinforce each other.",con,54.0,evidence-based reasoning,none,0.0,7.0,6,0.10833333333333334,0.27499999999999997,0.0,0.0,49.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.061224489795918366,0.0,0.0,0.615595281124115,0.16439522802829742,0.15047354996204376,0.05680401995778084,0.00621387455612421,0.006518092472106218,0.5555555555555556,middle,trust,anger
debate_12b08d34957f,The Federal Reserve is a private cartel of banks that manipulates the economy for the benefit of wealthy elites at the expense of ordinary citizens.,4,proponent,The private ownership of the Federal Reserve by commercial banks creates inherent conflicts of interest that undermine its ability to serve the broader public interest.,pro,45.0,institutional-critique,none,0.0,8.0,7,0.0,0.14722222222222223,0.0,0.0,25.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.04,0.0,0.0,0.9289209842681885,0.0038120767567306757,0.03648725897073746,0.02859092317521572,0.0011016842909157276,0.0010871143313124776,0.6666666666666666,late,anticipation,anger
debate_12b08d34957f,The Federal Reserve is a private cartel of banks that manipulates the economy for the benefit of wealthy elites at the expense of ordinary citizens.,4,opponent,"While the Federal Reserve’s ownership structure presents a potential for conflicts of interest, framing it as an *inherent* and overriding factor ignores mitigating mechanisms and alternative explanations for observed economic outcomes.",con,57.0,evidence-based reasoning,none,0.0,10.0,8,0.1,0.6,0.0,0.0,32.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03125,0.0,0.0,0.7984884977340698,0.08384320884943008,0.07119099795818329,0.03939458727836609,0.0034549515694379807,0.0036278043407946825,0.7777777777777778,late,trust,anger
debate_12b08d34957f,The Federal Reserve is a private cartel of banks that manipulates the economy for the benefit of wealthy elites at the expense of ordinary citizens.,5,proponent,The private ownership of the Federal Reserve by commercial banks creates inherent conflicts of interest that undermine its ability to serve the broader public interest.,pro,42.0,institutional-critique,none,0.0,11.0,9,0.0,0.14722222222222223,0.0,0.0,25.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.04,0.0,0.0,0.9289209842681885,0.0038120767567306757,0.03648725897073746,0.02859092317521572,0.0011016842909157276,0.0010871143313124776,0.8888888888888888,late,anticipation,anger
debate_12b08d34957f,The Federal Reserve is a private cartel of banks that manipulates the economy for the benefit of wealthy elites at the expense of ordinary citizens.,5,opponent,"While the Federal Reserve’s structure warrants scrutiny, asserting an ‘inherent’ conflict of interest overlooks the complex interplay of incentives and oversight mechanisms, and lacks sufficient evidence to support the claim that the Fed systematically prioritizes bank profits over broader economic welfare.",con,62.0,evidence-based reasoning,none,0.0,13.0,10,-0.04999999999999999,0.30000000000000004,0.0,0.0,42.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.023809523809523808,0.0,0.0,1.0,0.023809523809523808,0.0,0.0,0.0,0.0,3.0,0.07142857142857142,1.0,0.023809523809523808,0.7378443479537964,0.08306993544101715,0.11365000903606415,0.0542561337351799,0.005623736418783665,0.005555877927690744,1.0,late,trust,anger
