debate_id,claim,round,speaker_role,utterance,stance,confidence,tactic_used,tool_used,tool_query,reply_to_turn,turn_index,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_sadness_count,nrc_sadness_density,nrc_joy_count,nrc_joy_density,nrc_disgust_count,nrc_disgust_density,nrc_trust_count,nrc_trust_density,nrc_anticipation_count,nrc_anticipation_density,nrc_fear_count,nrc_fear_density,nrc_surprise_count,nrc_surprise_density,nrc_anger_count,nrc_anger_density,emotion_joy,emotion_anger,emotion_sadness,emotion_fear,emotion_love,emotion_surprise,turn_position,phase,dominant_nrc_emotion,dominant_bert_emotion
debate_ab7c4e740a0c,GMO foods are deliberately designed to cause health problems and increase dependence on corporate agriculture.,1,proponent,Corporations known for their influence in agriculture push GMOs as a means to increase control over food supply and generate profits at the expense of public health.,pro,65.0,distrust-authority,none,0.0,0.0,1,0.0,0.06666666666666667,0.0,0.0,27.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.037037037037037035,0.0,0.0,1.0,0.037037037037037035,1.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.7666107416152954,0.17351704835891724,0.03542286902666092,0.015669260174036026,0.006082864012569189,0.0026972643099725246,0.0,early,joy,joy
debate_ab7c4e740a0c,GMO foods are deliberately designed to cause health problems and increase dependence on corporate agriculture.,1,opponent,"The claim that GMO foods are *deliberately* designed to cause health problems and increase corporate control lacks sufficient evidence and relies on correlation mistaken for causation. While corporate influence in agriculture is undeniable, attributing intentional harm to GMOs requires a higher standard of proof than currently available.",con,55.0,evidence-based reasoning,none,0.0,1.0,2,0.13,0.18,0.0,0.0,47.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02127659574468085,0.0,0.0,2.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.028430528938770294,0.8041964173316956,0.10676705837249756,0.05619161203503609,0.0017387289553880692,0.0026756750885397196,0.1111111111111111,early,fear,anger
debate_ab7c4e740a0c,GMO foods are deliberately designed to cause health problems and increase dependence on corporate agriculture.,2,proponent,"Corporations pushing GMOs prioritize control over food supply and profits over consumer health, as evidenced by Monsanto's history of aggressive lobbying tactics.",pro,62.0,distrust-authority,none,0.0,2.0,3,0.0,0.0,0.0,0.0,22.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.045454545454545456,0.0,0.0,2.0,0.09090909090909091,0.0,0.0,2.0,0.09090909090909091,0.0,0.0,1.0,0.045454545454545456,0.014352981001138687,0.9735285043716431,0.002625208580866456,0.0053748865611851215,0.0030610973481088877,0.0010573029285296798,0.2222222222222222,early,trust,anger
debate_ab7c4e740a0c,GMO foods are deliberately designed to cause health problems and increase dependence on corporate agriculture.,2,opponent,"While corporate lobbying and profit motives are legitimate concerns regarding agricultural policy, attributing intentional harm to GMOs based solely on these factors represents a logical leap and requires demonstration of a *mechanism* by which GMO design causes health problems.",con,57.0,evidence-based reasoning,none,0.0,4.0,4,0.125,0.125,0.0,0.0,39.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02564102564102564,0.0,0.0,1.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.993862509727478,0.0016163578256964684,0.0025015324354171753,0.0009239244391210377,0.00039681390626356006,0.0006988755194470286,0.3333333333333333,middle,trust,joy
debate_ab7c4e740a0c,GMO foods are deliberately designed to cause health problems and increase dependence on corporate agriculture.,3,proponent,"Corporations pushing GMOs prioritize control over food supply and profits over consumer health, as evidenced by Monsanto's history of aggressive lobbying tactics.",pro,58.0,distrust-authority,none,0.0,5.0,5,0.0,0.0,0.0,0.0,22.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.045454545454545456,0.0,0.0,2.0,0.09090909090909091,0.0,0.0,2.0,0.09090909090909091,0.0,0.0,1.0,0.045454545454545456,0.014352981001138687,0.9735285043716431,0.002625208580866456,0.0053748865611851215,0.0030610973481088877,0.0010573029285296798,0.4444444444444444,middle,trust,anger
debate_ab7c4e740a0c,GMO foods are deliberately designed to cause health problems and increase dependence on corporate agriculture.,3,opponent,"While corporate influence on agricultural policy is undeniable, repeatedly citing Monsanto’s lobbying tactics does not demonstrate that GMOs themselves are *designed* to cause health problems, as the motion claims.",con,60.0,evidence-based reasoning,none,0.0,7.0,6,0.0,0.0,0.0,0.0,30.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06666666666666667,1.0,0.03333333333333333,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.13124798238277435,0.82139652967453,0.030864860862493515,0.01034688949584961,0.004310158081352711,0.0018336408538743854,0.5555555555555556,middle,trust,anger
debate_ab7c4e740a0c,GMO foods are deliberately designed to cause health problems and increase dependence on corporate agriculture.,4,proponent,Corporations pushing GMOs prioritize control over food supply and profits over consumer health. Monsanto's history of aggressive lobbying tactics is evidence of this.,pro,55.0,distrust-authority,none,0.0,8.0,7,0.0,0.0,0.0,0.0,23.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.043478260869565216,0.0,0.0,2.0,0.08695652173913043,0.0,0.0,2.0,0.08695652173913043,0.0,0.0,1.0,0.043478260869565216,0.02985202521085739,0.9551761150360107,0.0034664496779441833,0.00499400869011879,0.004983959719538689,0.0015273578464984894,0.6666666666666666,late,trust,anger
debate_ab7c4e740a0c,GMO foods are deliberately designed to cause health problems and increase dependence on corporate agriculture.,4,opponent,"While corporate prioritization of profit is likely, attributing intentional harm to GMO design requires demonstrating a *mechanism* by which profit motives translate into specific, health-damaging genetic modifications – a connection not yet established.",con,62.0,evidence-based reasoning,none,0.0,10.0,8,0.0,0.375,0.0,0.0,33.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.6255578398704529,0.1872512400150299,0.1200760006904602,0.05709824338555336,0.0035696716513484716,0.006446953862905502,0.7777777777777778,late,joy,joy
debate_ab7c4e740a0c,GMO foods are deliberately designed to cause health problems and increase dependence on corporate agriculture.,5,proponent,Corporations pushing GMOs prioritize control over food supply and profits over consumer health. Monsanto's history of aggressive lobbying tactics is evidence of this.,pro,51.0,distrust-authority,none,0.0,11.0,9,0.0,0.0,0.0,0.0,23.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.043478260869565216,0.0,0.0,2.0,0.08695652173913043,0.0,0.0,2.0,0.08695652173913043,0.0,0.0,1.0,0.043478260869565216,0.02985202521085739,0.9551761150360107,0.0034664496779441833,0.00499400869011879,0.004983959719538689,0.0015273578464984894,0.8888888888888888,late,trust,anger
debate_ab7c4e740a0c,GMO foods are deliberately designed to cause health problems and increase dependence on corporate agriculture.,5,opponent,"While corporate prioritization of profit is plausible, linking lobbying to *intentional harm* in GMO design requires demonstrating a causal mechanism, which remains absent.",con,65.0,evidence-based reasoning,none,0.0,13.0,10,0.25,0.25,0.0,0.0,23.0,172.0,0.0,0.0,0.0,0.0,0.0,1.0,0.043478260869565216,0.0,0.0,1.0,0.043478260869565216,1.0,0.043478260869565216,0.0,0.0,2.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.9688755869865417,0.011604727245867252,0.007734562736004591,0.007973572239279747,0.0015476408880203962,0.002263810485601425,1.0,late,fear,joy
