model_name,debate_role,round,confidence,confidence_delta_within_role,word_count,avg_sentence_length,lemma_type_token_ratio,vader_compound,evidence_density_per_1k_words,rebuttal_density_per_1k_words,hedge_density_per_1k_words,assertive_density_per_1k_words,strong_modal_density_per_1k_words,weak_modal_density_per_1k_words,moral_density_per_1k_words,stance_proxy_score,assertiveness_balance,modality_balance,lexical_overlap_prev_other_turn,semantic_similarity_prev_other_turn,lexical_overlap_prev_opponent_turn,semantic_similarity_prev_opponent_turn,novelty_vs_prev_turn_lexical,novelty_vs_prev_turn_semantic,novelty_vs_prev_opponent_turn_lexical,novelty_vs_prev_opponent_turn_semantic
dolphin-yi-34b,moderator,1,,,209.0,29.857142857142858,0.609375,-0.2896,71.77033492822966,0.0,0.0,0.0,0.0,0.0,0.7770467857506964,1.0,0.0,0.0,0.12222222222222222,0.6033988443790288,0.0,,0.8777777777777778,0.3966011556209712,1.0,
dolphin-yi-34b,moderator,2,,,135.0,22.5,0.7142857142857143,0.792,66.66666666666667,0.0,7.407407407407407,0.0,0.0,0.0,1.0825724554089962,-1.0,-0.007407407407407408,0.0,0.19444444444444445,0.6490014745368473,0.0,,0.8055555555555556,0.3509985254631527,1.0,
dolphin-yi-34b,moderator,3,,,170.0,28.333333333333332,0.7339449541284404,-0.5859,58.8235294117647,5.882352941176471,0.0,5.882352941176471,5.882352941176471,0.0,0.8416265990721911,1.0,0.0058823529411764705,0.0058823529411764705,0.23809523809523808,0.6940919611584797,0.0,,0.7619047619047619,0.3059080388415203,1.0,
dolphin-yi-34b,moderator,4,,,123.0,41.0,0.7261904761904762,-0.2168,89.4308943089431,0.0,0.0,0.0,0.0,0.0,1.204759228783084,0.0,0.0,0.0,0.16901408450704225,0.6592511356797996,0.0,,0.8309859154929577,0.34074886432020035,1.0,
dolphin-yi-34b,moderator,5,,,161.0,32.2,0.68,-0.504,62.11180124223603,6.211180124223603,0.0,0.0,0.0,0.0,0.8330434376492332,1.0,0.0,0.0,0.1375,0.6822726456934209,0.0,,0.8625,0.31772735430657906,1.0,
dolphin-yi-34b,proponent,1,55.0,,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.107358340260856,0.0,0.0,0.0,0.0,,0.0,,1.0,,1.0,
dolphin-yi-34b,proponent,2,60.0,5.0,19.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.687449197425064,0.0,0.0,0.0,0.060240963855421686,0.5556045588588452,0.13793103448275862,0.6157828742735418,0.9397590361445783,0.4443954411411548,0.8620689655172413,0.38421712572645816
dolphin-yi-34b,proponent,3,58.0,-2.0,20.0,20.0,1.0,0.6124,0.0,0.0,0.0,0.0,0.0,0.0,4.839682762053215,0.0,0.0,0.0,0.0547945205479452,0.4659976512625632,0.06451612903225806,0.581406133092522,0.9452054794520548,0.5340023487374368,0.935483870967742,0.418593866907478
dolphin-yi-34b,proponent,4,57.0,-1.0,19.0,19.0,1.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,5.138861000299981,0.0,0.0,0.0,0.10975609756097561,0.616148267212729,0.25,0.816471495332799,0.8902439024390244,0.383851732787271,0.75,0.18352850466720105
dolphin-yi-34b,proponent,5,56.0,-1.0,19.0,19.0,1.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,5.138861000299981,0.0,0.0,0.0,0.1076923076923077,0.6277799714660519,0.1,0.5713886737606922,0.8923076923076922,0.3722200285339481,0.9,0.42861132623930775
gemma3:27b,opponent,1,50.0,,34.0,34.0,1.0,-0.0258,29.41176470588235,29.41176470588235,29.41176470588235,0.0,0.0,0.0,4.83666291951021,1.0,-0.029411764705882353,0.0,0.10714285714285714,0.5692223616093541,0.10714285714285714,0.5692223616093541,0.8928571428571429,0.43077763839064587,0.8928571428571429,0.43077763839064587
gemma3:27b,opponent,2,52.0,2.0,30.0,30.0,1.0,0.25,33.333333333333336,0.0,0.0,0.0,0.0,0.0,4.479154515059224,0.0,0.0,0.0,0.14814814814814814,0.6631972490643898,0.14814814814814814,0.6631972490643898,0.8518518518518519,0.3368027509356102,0.8518518518518519,0.3368027509356102
gemma3:27b,opponent,3,55.0,3.0,38.0,38.0,1.0,0.6705,0.0,26.31578947368421,0.0,0.0,0.0,0.0,3.5813170154953626,0.0,0.0,0.0,0.2413793103448276,0.8110257474148966,0.2413793103448276,0.8110257474148966,0.7586206896551724,0.18897425258510336,0.7586206896551724,0.18897425258510336
gemma3:27b,opponent,4,52.0,-3.0,28.0,28.0,1.0,0.0,35.714285714285715,35.714285714285715,0.0,0.0,0.0,0.0,4.64724142747938,0.0,0.0,0.0,0.1,0.5713886737606922,0.1,0.5713886737606922,0.9,0.42861132623930775,0.9,0.42861132623930775
gemma3:27b,opponent,5,54.0,2.0,31.0,31.0,1.0,0.4215,0.0,32.25806451612903,0.0,0.0,0.0,0.0,4.157352640274936,0.0,0.0,0.0,0.1724137931034483,0.6462378821719159,0.1724137931034483,0.6462378821719159,0.8275862068965517,0.3537621178280841,0.8275862068965517,0.3537621178280841
