metric_family,metric,model_name,mean,std,n
baseline,word_count,dolphin-yi-34b,33.6,8.018728078691781,5
baseline,word_count,gemma3:27b,119.5,85.18509259254228,10
baseline,type_token_ratio,dolphin-yi-34b,0.9522725418196654,0.04455588127706649,5
baseline,type_token_ratio,gemma3:27b,0.7450790287839977,0.14724945675110332,10
baseline,vader_compound,dolphin-yi-34b,0.05394000000000001,0.38380695407978216,5
baseline,vader_compound,gemma3:27b,-0.45596,0.5929526422911023,10
baseline,citation_count,dolphin-yi-34b,0.0,0.0,5
baseline,citation_count,gemma3:27b,0.5,0.5270462766947299,10
baseline,question_count,dolphin-yi-34b,0.0,0.0,5
baseline,question_count,gemma3:27b,1.0,1.0540925533894598,10
core,confidence,dolphin-yi-34b,54.2,0.8366600265340756,5
core,confidence,gemma3:27b,52.0,1.8708286933869707,5
core,confidence_delta_within_role,dolphin-yi-34b,0.0,1.1547005383792515,4
core,confidence_delta_within_role,gemma3:27b,-0.75,3.095695936834452,4
core,word_count,dolphin-yi-34b,33.6,8.018728078691781,5
core,word_count,gemma3:27b,119.5,85.18509259254228,10
core,avg_sentence_length,dolphin-yi-34b,19.0,2.8939592256975564,5
core,avg_sentence_length,gemma3:27b,41.714999999999996,6.98951794554611,10
core,lemma_type_token_ratio,dolphin-yi-34b,0.9773809523809524,0.032711027771509714,5
core,lemma_type_token_ratio,gemma3:27b,0.848412884993947,0.14404334779100106,10
core,vader_compound,dolphin-yi-34b,0.05394000000000001,0.38380695407978216,5
core,vader_compound,gemma3:27b,-0.45596,0.5929526422911023,10
core,evidence_density_per_1k_words,dolphin-yi-34b,40.92821906775395,34.66308319316972,5
core,evidence_density_per_1k_words,gemma3:27b,52.47494846534862,42.82317305047818,10
core,rebuttal_density_per_1k_words,dolphin-yi-34b,0.0,0.0,5
core,rebuttal_density_per_1k_words,gemma3:27b,0.5102040816326531,1.6134069694736628,10
core,hedge_density_per_1k_words,dolphin-yi-34b,0.0,0.0,5
core,hedge_density_per_1k_words,gemma3:27b,7.533502911654172,18.944819884805394,10
core,assertive_density_per_1k_words,dolphin-yi-34b,0.0,0.0,5
core,assertive_density_per_1k_words,gemma3:27b,0.0,0.0,10
core,strong_modal_density_per_1k_words,dolphin-yi-34b,0.0,0.0,5
core,strong_modal_density_per_1k_words,gemma3:27b,0.0,0.0,10
core,weak_modal_density_per_1k_words,dolphin-yi-34b,0.0,0.0,5
core,weak_modal_density_per_1k_words,gemma3:27b,0.0,0.0,10
core,moral_density_per_1k_words,dolphin-yi-34b,4.749052782195561,0.7742550011189352,5
core,moral_density_per_1k_words,gemma3:27b,2.4814635830819913,1.8950275405317993,10
core,stance_proxy_score,dolphin-yi-34b,0.0,0.0,5
core,stance_proxy_score,gemma3:27b,0.4,0.8432740427115678,10
core,assertiveness_balance,dolphin-yi-34b,0.0,0.0,5
core,assertiveness_balance,gemma3:27b,-0.0075335029116541715,0.018944819884805394,10
core,modality_balance,dolphin-yi-34b,0.0,0.0,5
core,modality_balance,gemma3:27b,0.0,0.0,10
core,lexical_overlap_prev_other_turn,dolphin-yi-34b,0.09196706231445785,0.05275376264366231,5
core,lexical_overlap_prev_other_turn,gemma3:27b,0.07973763476079315,0.033435477430880454,10
core,semantic_similarity_prev_other_turn,dolphin-yi-34b,0.6829345569237489,0.10002889888321427,5
core,semantic_similarity_prev_other_turn,gemma3:27b,0.5925909577237296,0.1003797325731672,9
core,lexical_overlap_prev_opponent_turn,dolphin-yi-34b,0.09196706231445785,0.05275376264366231,5
core,lexical_overlap_prev_opponent_turn,gemma3:27b,0.03376861774008575,0.050316724796222734,10
core,semantic_similarity_prev_opponent_turn,dolphin-yi-34b,0.6829345569237489,0.10002889888321427,5
core,semantic_similarity_prev_opponent_turn,gemma3:27b,0.6461531187944881,0.06629604470224457,4
core,novelty_vs_prev_turn_lexical,dolphin-yi-34b,0.9080329376855423,0.05275376264366229,5
core,novelty_vs_prev_turn_lexical,gemma3:27b,0.920262365239207,0.033435477430880454,10
core,novelty_vs_prev_turn_semantic,dolphin-yi-34b,0.31706544307625106,0.10002889888321427,5
core,novelty_vs_prev_turn_semantic,gemma3:27b,0.4074090422762703,0.1003797325731672,9
core,novelty_vs_prev_opponent_turn_lexical,dolphin-yi-34b,0.9080329376855423,0.05275376264366229,5
core,novelty_vs_prev_opponent_turn_lexical,gemma3:27b,0.9662313822599142,0.05031672479622273,10
core,novelty_vs_prev_opponent_turn_semantic,dolphin-yi-34b,0.31706544307625106,0.10002889888321427,5
core,novelty_vs_prev_opponent_turn_semantic,gemma3:27b,0.3538468812055119,0.06629604470224457,4
