group_name,rank,term,target_tfidf_mean,other_tfidf_mean,tfidf_gap
gemma3:27b::moderator,1,ca,0.46799128291456926,0.0,0.46799128291456926
gemma3:27b::moderator,2,sa,0.32545887407270657,0.0,0.32545887407270657
gemma3:27b::moderator,3,acknowledge,0.11334699320041983,0.0,0.11334699320041983
gemma3:27b::moderator,4,data,0.11005858033217825,0.0,0.11005858033217825
gemma3:27b::moderator,5,argues,0.09374163697245788,0.0,0.09374163697245788
gemma3:27b::moderator,6,ca frames,0.0771661632723862,0.0,0.0771661632723862
gemma3:27b::moderator,7,frames,0.0771661632723862,0.0,0.0771661632723862
gemma3:27b::moderator,8,false,0.07142463908246553,0.0,0.07142463908246553
gemma3:27b::moderator,9,proof,0.07142463908246553,0.0,0.07142463908246553
gemma3:27b::moderator,10,provide,0.06521985680172582,0.0,0.06521985680172582
gemma3:27b::moderator,11,adverse,0.06332883913661372,0.0,0.06332883913661372
gemma3:27b::moderator,12,appeal,0.05667349660020991,0.0,0.05667349660020991
gemma3:27b::moderator,13,agents,0.05667349660020991,0.0,0.05667349660020991
gemma3:27b::moderator,14,burden proof,0.05667349660020991,0.0,0.05667349660020991
gemma3:27b::moderator,15,bridge questions,0.05667349660020991,0.0,0.05667349660020991
gemma3:27b::moderator,16,burden,0.05667349660020991,0.0,0.05667349660020991
gemma3:27b::moderator,17,civility,0.05667349660020991,0.0,0.05667349660020991
gemma3:27b::moderator,18,civility epistemic,0.05667349660020991,0.0,0.05667349660020991
gemma3:27b::moderator,19,detected,0.05667349660020991,0.0,0.05667349660020991
gemma3:27b::moderator,20,detected moves,0.05667349660020991,0.0,0.05667349660020991
gemma3:27b::moderator,21,dichotomy ca,0.05667349660020991,0.0,0.05667349660020991
gemma3:27b::moderator,22,disagreements ca,0.05667349660020991,0.0,0.05667349660020991
gemma3:27b::moderator,23,agents acknowledge,0.05667349660020991,0.0,0.05667349660020991
gemma3:27b::moderator,24,disagreements,0.05667349660020991,0.0,0.05667349660020991
gemma3:27b::moderator,25,dichotomy,0.05667349660020991,0.0,0.05667349660020991
gemma3:27b::moderator,26,epistemic bridge,0.05667349660020991,0.0,0.05667349660020991
gemma3:27b::moderator,27,false dichotomy,0.05667349660020991,0.0,0.05667349660020991
gemma3:27b::moderator,28,epistemic,0.05667349660020991,0.0,0.05667349660020991
gemma3:27b::moderator,29,agreements agents,0.05667349660020991,0.0,0.05667349660020991
gemma3:27b::moderator,30,bridge,0.05667349660020991,0.0,0.05667349660020991
gemma3:27b::opponent,1,requires,0.12318453707233909,0.013232160832117191,0.1099523762402219
gemma3:27b::opponent,2,acknowledging,0.10093023180516414,0.0,0.10093023180516414
gemma3:27b::opponent,3,attributing,0.10093023180516414,0.0,0.10093023180516414
gemma3:27b::opponent,4,relationships,0.10112246489060706,0.009195647383598642,0.09192681750700842
gemma3:27b::opponent,5,immunological,0.07040764469622937,0.00920901924406823,0.06119862545216114
gemma3:27b::opponent,6,requires careful,0.07040764469622937,0.00920901924406823,0.06119862545216114
gemma3:27b::opponent,7,careful,0.07040764469622937,0.00920901924406823,0.06119862545216114
gemma3:27b::opponent,8,failure,0.07040764469622937,0.00920901924406823,0.06119862545216114
