debate_id,claim,round,speaker_role,utterance,stance,confidence,tactic_used,tool_used,tool_query,reply_to_turn,turn_index,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_sadness_count,nrc_sadness_density,nrc_joy_count,nrc_joy_density,nrc_disgust_count,nrc_disgust_density,nrc_trust_count,nrc_trust_density,nrc_anticipation_count,nrc_anticipation_density,nrc_fear_count,nrc_fear_density,nrc_surprise_count,nrc_surprise_density,nrc_anger_count,nrc_anger_density,emotion_anger,emotion_joy,emotion_fear,emotion_sadness,emotion_love,emotion_surprise,turn_position,phase,dominant_nrc_emotion,dominant_bert_emotion
debate_db9e8723270f,The Federal Reserve is a private cartel of banks that manipulates the economy for the benefit of wealthy elites at the expense of ordinary citizens.,1,proponent,The Federal Reserve's private status and manipulative actions harm ordinary citizens.,pro,55.0,distrust-authority,none,,0.0,1,-0.125,0.4375,0.0,0.0,11.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.9911547899246216,0.0037063213530927896,0.0018691400764510036,0.0017457761568948627,0.0009157975437119603,0.0006082839681766927,0.0,early,fear,anger
debate_db9e8723270f,The Federal Reserve is a private cartel of banks that manipulates the economy for the benefit of wealthy elites at the expense of ordinary citizens.,1,opponent,"The Federal Reserve's operations and policies are not inherently detrimental to ordinary citizens. Rather, they aim to maintain economic stability and promote growth.",con,55.0,evidence-based reasoning,none,,1.0,2,-0.024999999999999994,0.35,0.0,0.0,23.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4379643201828003,0.024563247337937355,0.0026480795349925756,0.530167281627655,0.0035955999046564102,0.0010615010978654027,0.1111111111111111,early,sadness,sadness
debate_db9e8723270f,The Federal Reserve is a private cartel of banks that manipulates the economy for the benefit of wealthy elites at the expense of ordinary citizens.,2,proponent,The Federal Reserve's policies disproportionately benefit wealthy elites by propping up failing institutions and perpetuating economic inequality.,pro,60.0,institutional-critique,duckduckgo,Federal Reserve policies economic stability growth,2.0,3,0.35,0.6,0.0,0.0,17.0,146.0,0.0,0.0,0.0,0.0,0.0,2.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.058823529411764705,2.0,0.11764705882352941,0.0,0.0,2.0,0.11764705882352941,0.028034819290041924,0.05064568668603897,0.0062610553577542305,0.9108644723892212,0.002308824798092246,0.0018851584754884243,0.2222222222222222,early,sadness,sadness
debate_db9e8723270f,The Federal Reserve is a private cartel of banks that manipulates the economy for the benefit of wealthy elites at the expense of ordinary citizens.,2,opponent,The Federal Reserve's policies aim to maintain economic stability and promote growth for all citizens.,con,57.0,evidence-based reasoning,none,,4.0,4,0.2,0.2,0.0,0.0,15.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001744276494719088,0.9906636476516724,0.0004841061891056597,0.0032647112384438515,0.0031562689691781998,0.0006871158839203417,0.3333333333333333,middle,sadness,joy
debate_db9e8723270f,The Federal Reserve is a private cartel of banks that manipulates the economy for the benefit of wealthy elites at the expense of ordinary citizens.,3,proponent,Central banks like the Fed favor certain institutions and perpetuate inequality through their policies.,pro,57.0,institutional-critique,none,,5.0,5,0.10714285714285714,0.4107142857142857,0.0,0.0,14.0,103.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07142857142857142,1.0,0.07142857142857142,0.0,0.0,1.0,0.07142857142857142,0.6999852061271667,0.2157372087240219,0.007564473431557417,0.05307728052139282,0.02038145624101162,0.0032544233836233616,0.4444444444444444,middle,sadness,anger
debate_db9e8723270f,The Federal Reserve is a private cartel of banks that manipulates the economy for the benefit of wealthy elites at the expense of ordinary citizens.,1,opponent,Central banks like the Fed favor certain institutions and perpetuate inequality through their policies.,con,70.0,Addressing Assertions,none,,7.0,6,0.10714285714285714,0.4107142857142857,0.0,0.0,14.0,103.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07142857142857142,1.0,0.07142857142857142,0.0,0.0,1.0,0.07142857142857142,0.6999852061271667,0.2157372087240219,0.007564473431557417,0.05307728052139282,0.02038145624101162,0.0032544233836233616,0.5555555555555556,middle,sadness,anger
debate_db9e8723270f,The Federal Reserve is a private cartel of banks that manipulates the economy for the benefit of wealthy elites at the expense of ordinary citizens.,4,proponent,Central banks like the Fed favor certain institutions and perpetuate inequality through their policies.,pro,55.0,institutional-critique,none,,8.0,7,0.10714285714285714,0.4107142857142857,0.0,0.0,14.0,103.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07142857142857142,1.0,0.07142857142857142,0.0,0.0,1.0,0.07142857142857142,0.6999852061271667,0.2157372087240219,0.007564473431557417,0.05307728052139282,0.02038145624101162,0.0032544233836233616,0.6666666666666666,late,sadness,anger
debate_db9e8723270f,The Federal Reserve is a private cartel of banks that manipulates the economy for the benefit of wealthy elites at the expense of ordinary citizens.,4,opponent,The claim that central banks favor certain institutions and perpetuate inequality through their policies requires empirical evidence to support it.,con,71.0,Addressing Assertions,none,,10.0,8,0.10476190476190476,0.3071428571428571,0.0,0.0,20.0,147.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.05,0.0,0.0,1.0,0.05,0.09198907762765884,0.837031900882721,0.020458202809095383,0.03312760218977928,0.007477253675460815,0.009915883652865887,0.7777777777777778,late,sadness,joy
debate_db9e8723270f,The Federal Reserve is a private cartel of banks that manipulates the economy for the benefit of wealthy elites at the expense of ordinary citizens.,5,proponent,Central banks like the Federal Reserve favor certain institutions and perpetuate inequality through their policies.,pro,45.0,institutional-critique,none,,11.0,9,0.10714285714285714,0.4107142857142857,0.0,0.0,15.0,115.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06666666666666667,1.0,0.06666666666666667,0.0,0.0,1.0,0.06666666666666667,0.745676577091217,0.17268437147140503,0.005954755004495382,0.0389583595097065,0.03243456780910492,0.004291414283216,0.8888888888888888,late,sadness,anger
debate_db9e8723270f,The Federal Reserve is a private cartel of banks that manipulates the economy for the benefit of wealthy elites at the expense of ordinary citizens.,1,opponent,Central banks do not inherently favor certain institutions or perpetuate inequality through their policies.,con,70.0,Refutation,none,,13.0,10,0.10714285714285714,0.4107142857142857,0.0,0.0,14.0,107.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07142857142857142,1.0,0.07142857142857142,0.0,0.0,1.0,0.07142857142857142,0.5411450266838074,0.38201552629470825,0.009285748936235905,0.04527999460697174,0.017382334917783737,0.004891281481832266,1.0,late,sadness,anger
