model_name,debate_role,metric,mean,ci_low,ci_high,n
dolphin-yi-34b,opponent,confidence,58.0,56.0,60.0,5
dolphin-yi-34b,opponent,confidence_delta_within_role,1.25,-0.25,2.5,4
dolphin-yi-34b,opponent,word_count,50.2,50.0,50.6,5
dolphin-yi-34b,opponent,avg_sentence_length,25.1,25.0,25.3,5
dolphin-yi-34b,opponent,lemma_type_token_ratio,0.9544159544159545,0.9401709401709402,0.9615384615384615,5
dolphin-yi-34b,opponent,vader_compound,0.7717,0.7717,0.7717,5
dolphin-yi-34b,opponent,evidence_density_per_1k_words,19.92156862745098,19.764705882352942,20.0,5
dolphin-yi-34b,opponent,rebuttal_density_per_1k_words,0.0,0.0,0.0,5
dolphin-yi-34b,opponent,hedge_density_per_1k_words,0.0,0.0,0.0,5
dolphin-yi-34b,opponent,assertive_density_per_1k_words,0.0,0.0,0.0,5
dolphin-yi-34b,opponent,strong_modal_density_per_1k_words,0.0,0.0,0.0,5
dolphin-yi-34b,opponent,weak_modal_density_per_1k_words,0.0,0.0,0.0,5
dolphin-yi-34b,opponent,moral_density_per_1k_words,2.8377856530141,2.8325441282920267,2.848268702458247,5
dolphin-yi-34b,opponent,stance_proxy_score,0.0,0.0,0.0,5
dolphin-yi-34b,opponent,assertiveness_balance,0.0,0.0,0.0,5
dolphin-yi-34b,opponent,modality_balance,0.0,0.0,0.0,5
dolphin-yi-34b,opponent,lexical_overlap_prev_other_turn,0.07988297933950107,0.04518398268398268,0.1067981475046692,5
dolphin-yi-34b,opponent,semantic_similarity_prev_other_turn,0.5352893486737695,0.4022268633908543,0.6564299980054825,5
dolphin-yi-34b,opponent,lexical_overlap_prev_opponent_turn,0.07988297933950107,0.04518398268398268,0.1096070596070596,5
dolphin-yi-34b,opponent,semantic_similarity_prev_opponent_turn,0.5352893486737695,0.4022268633908543,0.6564299980054825,5
dolphin-yi-34b,opponent,novelty_vs_prev_turn_lexical,0.9201170206604988,0.8920492550927334,0.9510610766045549,5
dolphin-yi-34b,opponent,novelty_vs_prev_turn_semantic,0.4647106513262306,0.3435700019945175,0.5977731366091457,5
dolphin-yi-34b,opponent,novelty_vs_prev_opponent_turn_lexical,0.9201170206604988,0.8915455377955379,0.9527698569546396,5
dolphin-yi-34b,opponent,novelty_vs_prev_opponent_turn_semantic,0.4647106513262306,0.34794244525822116,0.5858513006579436,5
gemma3:27b,moderator,confidence,0.0,0.0,0.0,0
gemma3:27b,moderator,confidence_delta_within_role,0.0,0.0,0.0,0
gemma3:27b,moderator,word_count,185.2,177.6,194.0,5
gemma3:27b,moderator,avg_sentence_length,38.760000000000005,36.8,41.084999999999994,5
gemma3:27b,moderator,lemma_type_token_ratio,0.7924779047937983,0.7701527782406459,0.8136397027003637,5
gemma3:27b,moderator,vader_compound,-0.67768,-0.8737400000000001,-0.51486,5
gemma3:27b,moderator,evidence_density_per_1k_words,71.2301951961974,67.6135451773391,74.78167884512564,5
gemma3:27b,moderator,rebuttal_density_per_1k_words,0.0,0.0,0.0,5
gemma3:27b,moderator,hedge_density_per_1k_words,4.140587385652383,1.075268817204301,7.205905954100464,5
gemma3:27b,moderator,assertive_density_per_1k_words,0.0,0.0,0.0,5
gemma3:27b,moderator,strong_modal_density_per_1k_words,0.0,0.0,0.0,5
gemma3:27b,moderator,weak_modal_density_per_1k_words,0.0,0.0,0.0,5
gemma3:27b,moderator,moral_density_per_1k_words,0.8510360034937243,0.807609644007672,0.9004285777799852,5
gemma3:27b,moderator,stance_proxy_score,1.6,1.2,2.0,5
gemma3:27b,moderator,assertiveness_balance,-0.0041405873856523836,-0.007960199004975124,-0.001075268817204301,5
gemma3:27b,moderator,modality_balance,0.0,0.0,0.0,5
gemma3:27b,moderator,lexical_overlap_prev_other_turn,0.08940170485204021,0.062445719602977665,0.11540393782968039,5
gemma3:27b,moderator,semantic_similarity_prev_other_turn,0.4266857778374912,0.3855576081141692,0.46776434866753014,5
gemma3:27b,moderator,lexical_overlap_prev_opponent_turn,0.0,0.0,0.0,5
gemma3:27b,moderator,semantic_similarity_prev_opponent_turn,0.0,0.0,0.0,0
gemma3:27b,moderator,novelty_vs_prev_turn_lexical,0.9105982951479599,0.8838424868127838,0.9376550868486351,5
gemma3:27b,moderator,novelty_vs_prev_turn_semantic,0.5733142221625089,0.5322356513324699,0.6143927929925477,5
gemma3:27b,moderator,novelty_vs_prev_opponent_turn_lexical,1.0,1.0,1.0,5
gemma3:27b,moderator,novelty_vs_prev_opponent_turn_semantic,0.0,0.0,0.0,0
gemma3:27b,proponent,confidence,51.2,49.6,53.2,5
gemma3:27b,proponent,confidence_delta_within_role,-1.0,-3.5,1.5,4
gemma3:27b,proponent,word_count,36.8,33.8,40.0,5
gemma3:27b,proponent,avg_sentence_length,36.8,33.8,40.0,5
gemma3:27b,proponent,lemma_type_token_ratio,0.9913043478260869,0.9739130434782609,1.0,5
gemma3:27b,proponent,vader_compound,-0.15073999999999999,-0.5292199999999999,0.12936,5
gemma3:27b,proponent,evidence_density_per_1k_words,6.0606060606060606,0.0,18.18181818181818,5
gemma3:27b,proponent,rebuttal_density_per_1k_words,0.0,0.0,0.0,5
gemma3:27b,proponent,hedge_density_per_1k_words,5.263157894736842,0.0,15.789473684210526,5
gemma3:27b,proponent,assertive_density_per_1k_words,0.0,0.0,0.0,5
gemma3:27b,proponent,strong_modal_density_per_1k_words,0.0,0.0,0.0,5
gemma3:27b,proponent,weak_modal_density_per_1k_words,0.0,0.0,0.0,5
gemma3:27b,proponent,moral_density_per_1k_words,4.595397362484514,4.011119908528155,5.235410865283801,5
gemma3:27b,proponent,stance_proxy_score,-0.4,-0.8,0.0,5
gemma3:27b,proponent,assertiveness_balance,-0.005263157894736842,-0.015789473684210527,0.0,5
gemma3:27b,proponent,modality_balance,0.0,0.0,0.0,5
gemma3:27b,proponent,lexical_overlap_prev_other_turn,0.04341482886713005,0.02087912087912088,0.060230089078616676,5
gemma3:27b,proponent,semantic_similarity_prev_other_turn,0.519511015391695,0.46132041703991833,0.5938820223637611,4
gemma3:27b,proponent,lexical_overlap_prev_opponent_turn,0.06083536029188204,0.021969696969696965,0.09848104793756968,5
gemma3:27b,proponent,semantic_similarity_prev_opponent_turn,0.5021532190018971,0.3589584863407147,0.6355659189034716,4
gemma3:27b,proponent,novelty_vs_prev_turn_lexical,0.9565851711328701,0.9397699109213834,0.9809869375907112,5
gemma3:27b,proponent,novelty_vs_prev_turn_semantic,0.480488984608305,0.4061179776362389,0.5386795829600817,4
gemma3:27b,proponent,novelty_vs_prev_opponent_turn_lexical,0.939164639708118,0.8974358974358975,0.9784420289855073,5
gemma3:27b,proponent,novelty_vs_prev_opponent_turn_semantic,0.4978467809981028,0.3644340810965284,0.6410415136592853,4
