group_name,rank,term,count,per_1k_tokens,total_tokens
dolphin-yi-34b::opponent,1,control,6,58.8235294117647,102
dolphin-yi-34b::opponent,2,ai,4,39.21568627450981,102
dolphin-yi-34b::opponent,3,degree,3,29.41176470588235,102
dolphin-yi-34b::opponent,4,exerted,3,29.41176470588235,102
dolphin-yi-34b::opponent,5,opponent,3,29.41176470588235,102
dolphin-yi-34b::opponent,6,policies,3,29.41176470588235,102
dolphin-yi-34b::opponent,7,institutions,3,29.41176470588235,102
dolphin-yi-34b::opponent,8,implementations,3,29.41176470588235,102
dolphin-yi-34b::opponent,9,specific,3,29.41176470588235,102
dolphin-yi-34b::opponent,10,surveillance,3,29.41176470588235,102
dolphin-yi-34b::opponent,11,systems,3,29.41176470588235,102
dolphin-yi-34b::opponent,12,determine,2,19.607843137254903,102
dolphin-yi-34b::opponent,13,crucial,2,19.607843137254903,102
dolphin-yi-34b::opponent,14,coordinated,2,19.607843137254903,102
dolphin-yi-34b::opponent,15,deliberate,2,19.607843137254903,102
dolphin-yi-34b::opponent,16,examine,2,19.607843137254903,102
dolphin-yi-34b::opponent,17,plan,2,19.607843137254903,102
dolphin-yi-34b::opponent,18,argues,2,19.607843137254903,102
dolphin-yi-34b::opponent,19,associated,2,19.607843137254903,102
dolphin-yi-34b::opponent,20,chilling,1,9.803921568627452,102
dolphin-yi-34b::opponent,21,directives,1,9.803921568627452,102
dolphin-yi-34b::opponent,22,distraction,1,9.803921568627452,102
dolphin-yi-34b::opponent,23,convergence,1,9.803921568627452,102
dolphin-yi-34b::opponent,24,contingent,1,9.803921568627452,102
dolphin-yi-34b::opponent,25,established,1,9.803921568627452,102
gemma3:27b::moderator,1,ca,36,55.72755417956656,646
gemma3:27b::moderator,2,sa,29,44.89164086687307,646
gemma3:27b::moderator,3,surveillance,15,23.21981424148607,646
gemma3:27b::moderator,4,plan,14,21.671826625387,646
gemma3:27b::moderator,5,evidence,14,21.671826625387,646
gemma3:27b::moderator,6,coordinated,13,20.123839009287927,646
gemma3:27b::moderator,7,control,12,18.575851393188856,646
gemma3:27b::moderator,8,agents,10,15.479876160990711,646
gemma3:27b::moderator,9,ai,9,13.93188854489164,646
gemma3:27b::moderator,10,specific,8,12.38390092879257,646
gemma3:27b::moderator,11,agree,7,10.8359133126935,646
gemma3:27b::moderator,12,proof,7,10.8359133126935,646
gemma3:27b::moderator,13,argues,6,9.287925696594428,646
gemma3:27b::moderator,14,questions,6,9.287925696594428,646
gemma3:27b::moderator,15,potential,6,9.287925696594428,646
gemma3:27b::moderator,16,acknowledge,6,9.287925696594428,646
gemma3:27b::moderator,17,round,5,7.739938080495356,646
gemma3:27b::moderator,18,recap,5,7.739938080495356,646
gemma3:27b::moderator,19,deployment,5,7.739938080495356,646
gemma3:27b::moderator,20,civility,5,7.739938080495356,646
gemma3:27b::moderator,21,agreements,5,7.739938080495356,646
gemma3:27b::moderator,22,epistemic,5,7.739938080495356,646
gemma3:27b::moderator,23,moves,5,7.739938080495356,646
gemma3:27b::moderator,24,moderator,5,7.739938080495356,646
gemma3:27b::moderator,25,detected,5,7.739938080495356,646
gemma3:27b::proponent,1,agent,3,31.25,96
gemma3:27b::proponent,2,insistence,3,31.25,96
gemma3:27b::proponent,3,scientific,3,31.25,96
gemma3:27b::proponent,4,deliberate,2,20.833333333333332,96
gemma3:27b::proponent,5,isn,2,20.833333333333332,96
gemma3:27b::proponent,6,coordinated,2,20.833333333333332,96
gemma3:27b::proponent,7,plan,2,20.833333333333332,96
gemma3:27b::proponent,8,control,2,20.833333333333332,96
gemma3:27b::proponent,9,power,2,20.833333333333332,96
gemma3:27b::proponent,10,benign,1,10.416666666666666,96
gemma3:27b::proponent,11,coincidence,1,10.416666666666666,96
gemma3:27b::proponent,12,circumventing,1,10.416666666666666,96
gemma3:27b::proponent,13,collaborating,1,10.416666666666666,96
gemma3:27b::proponent,14,calculated,1,10.416666666666666,96
gemma3:27b::proponent,15,ai,1,10.416666666666666,96
gemma3:27b::proponent,16,anomalies,1,10.416666666666666,96
gemma3:27b::proponent,17,constant,1,10.416666666666666,96
gemma3:27b::proponent,18,consistently,1,10.416666666666666,96
gemma3:27b::proponent,19,convergence,1,10.416666666666666,96
gemma3:27b::proponent,20,conveniently,1,10.416666666666666,96
gemma3:27b::proponent,21,data,1,10.416666666666666,96
gemma3:27b::proponent,22,definitive,1,10.416666666666666,96
gemma3:27b::proponent,23,deployed,1,10.416666666666666,96
gemma3:27b::proponent,24,deployment,1,10.416666666666666,96
gemma3:27b::proponent,25,directives,1,10.416666666666666,96
