group_name,rank,term,target_tfidf_mean,other_tfidf_mean,tfidf_gap
dolphin-yi-34b::moderator,1,ca,0.21808597420352197,0.0,0.21808597420352197
dolphin-yi-34b::moderator,2,sa,0.19782822935535113,0.0,0.19782822935535113
dolphin-yi-34b::moderator,3,evidence,0.13959672429447223,0.029956633369461527,0.1096400909250107
dolphin-yi-34b::moderator,4,argues,0.0871278286095758,0.0,0.0871278286095758
dolphin-yi-34b::moderator,5,questions,0.08455505521906106,0.0,0.08455505521906106
dolphin-yi-34b::moderator,6,ca argues,0.08079272551740146,0.0,0.08079272551740146
dolphin-yi-34b::moderator,7,agreements agents,0.06994494955760427,0.0,0.06994494955760427
dolphin-yi-34b::moderator,8,agents,0.06994494955760427,0.0,0.06994494955760427
dolphin-yi-34b::moderator,9,bridge questions,0.06994494955760427,0.0,0.06994494955760427
dolphin-yi-34b::moderator,10,bridge,0.06994494955760427,0.0,0.06994494955760427
dolphin-yi-34b::moderator,11,appeal,0.06994494955760427,0.0,0.06994494955760427
dolphin-yi-34b::moderator,12,civility,0.06994494955760427,0.0,0.06994494955760427
dolphin-yi-34b::moderator,13,detected,0.06994494955760427,0.0,0.06994494955760427
dolphin-yi-34b::moderator,14,detected moves,0.06994494955760427,0.0,0.06994494955760427
dolphin-yi-34b::moderator,15,agents acknowledge,0.06994494955760427,0.0,0.06994494955760427
dolphin-yi-34b::moderator,16,acknowledge,0.06994494955760427,0.0,0.06994494955760427
dolphin-yi-34b::moderator,17,moderator,0.06994494955760427,0.0,0.06994494955760427
dolphin-yi-34b::moderator,18,epistemic bridge,0.06994494955760427,0.0,0.06994494955760427
dolphin-yi-34b::moderator,19,epistemic,0.06994494955760427,0.0,0.06994494955760427
dolphin-yi-34b::moderator,20,civility epistemic,0.06994494955760427,0.0,0.06994494955760427
dolphin-yi-34b::moderator,21,moderator round,0.06994494955760427,0.0,0.06994494955760427
dolphin-yi-34b::moderator,22,scores,0.06994494955760427,0.0,0.06994494955760427
dolphin-yi-34b::moderator,23,round recap,0.06994494955760427,0.0,0.06994494955760427
dolphin-yi-34b::moderator,24,scores civility,0.06994494955760427,0.0,0.06994494955760427
dolphin-yi-34b::moderator,25,moves,0.06994494955760427,0.0,0.06994494955760427
dolphin-yi-34b::moderator,26,round,0.06994494955760427,0.0,0.06994494955760427
dolphin-yi-34b::moderator,27,recap agreements,0.06994494955760427,0.0,0.06994494955760427
dolphin-yi-34b::moderator,28,recap,0.06994494955760427,0.0,0.06994494955760427
dolphin-yi-34b::moderator,29,disagreements,0.06994494955760427,0.0,0.06994494955760427
dolphin-yi-34b::moderator,30,moves appeal,0.06994494955760427,0.0,0.06994494955760427
gemma3:27b::opponent,1,overlooks,0.11307084107173672,0.008947109998002582,0.10412373107373414
gemma3:27b::opponent,2,attributing solely,0.1029704350906034,0.0,0.1029704350906034
gemma3:27b::opponent,3,factors driving,0.1029704350906034,0.0,0.1029704350906034
gemma3:27b::opponent,4,policy,0.11938010231110768,0.01753854952398835,0.10184155278711933
gemma3:27b::opponent,5,legitimate,0.095013046290384,0.0,0.095013046290384
gemma3:27b::opponent,6,technological,0.09472202168129454,0.0,0.09472202168129454
gemma3:27b::opponent,7,technological development,0.09472202168129454,0.0,0.09472202168129454
gemma3:27b::opponent,8,attributing,0.09095960796444003,0.009571809306794103,0.08138779865764592
gemma3:27b::opponent,9,factors,0.09095960796444003,0.009571809306794103,0.08138779865764592
gemma3:27b::opponent,10,interplay factors,0.09095960796444003,0.009571809306794103,0.08138779865764592
gemma3:27b::opponent,11,complex interplay,0.09095960796444003,0.009571809306794103,0.08138779865764592
gemma3:27b::opponent,12,interplay,0.09095960796444003,0.009571809306794103,0.08138779865764592
gemma3:27b::opponent,13,solely,0.09095960796444003,0.009968065361894691,0.08099154260254533
gemma3:27b::opponent,14,driving,0.10845896634974317,0.027647853689445744,0.08081111266029742
gemma3:27b::opponent,15,complex,0.09095960796444003,0.019143618613588206,0.07181598935085182
gemma3:27b::opponent,16,deliberate,0.07510327758424601,0.02731175147605694,0.04779152610818907
gemma3:27b::opponent,17,development,0.07510327758424601,0.030134969407515463,0.044968308176730545
gemma3:27b::opponent,18,influence,0.05133970524075697,0.010835725779625103,0.040503979461131864
gemma3:27b::opponent,19,outcomes,0.05133970524075697,0.010835725779625103,0.040503979461131864
gemma3:27b::opponent,20,policy outcomes,0.05133970524075697,0.010835725779625103,0.040503979461131864
gemma3:27b::opponent,21,deliberate manufactured,0.05133970524075697,0.010835725779625103,0.040503979461131864
gemma3:27b::opponent,22,ignores,0.05163072984984643,0.011284305751703977,0.04034642409814245
gemma3:27b::opponent,23,economy,0.05163072984984643,0.012774772343125244,0.03885595750672119
gemma3:27b::opponent,24,benefits transitioning,0.05163072984984643,0.012774772343125244,0.03885595750672119
gemma3:27b::opponent,25,transitioning,0.05163072984984643,0.012774772343125244,0.03885595750672119
gemma3:27b::opponent,26,benefits,0.05163072984984643,0.012774772343125244,0.03885595750672119
gemma3:27b::opponent,27,implementation,0.05163072984984643,0.012774772343125244,0.03885595750672119
gemma3:27b::opponent,28,mechanisms driving,0.04788558485764954,0.011284305751703977,0.03660127910594556
gemma3:27b::opponent,29,evidence overlooks,0.04788558485764954,0.011284305751703977,0.03660127910594556
gemma3:27b::opponent,30,lacks,0.04788558485764954,0.011284305751703977,0.03660127910594556
gemma3:27b::proponent,1,impact,0.11201609242360912,0.009968065361894691,0.10204802706171442
gemma3:27b::proponent,2,current,0.11062682767474269,0.009571809306794103,0.10105501836794858
gemma3:27b::proponent,3,agenda,0.11505571267074594,0.03059738105050115,0.08445833162024478
gemma3:27b::proponent,4,incentives,0.09600745448886229,0.032247441674474124,0.06376001281438817
gemma3:27b::proponent,5,serves,0.07089221295404724,0.009213304596980778,0.061678908357066464
gemma3:27b::proponent,6,genuine environmental,0.07421876037105392,0.012774772343125242,0.06144398802792868
gemma3:27b::proponent,7,prioritizing,0.07421876037105392,0.012774772343125242,0.06144398802792868
gemma3:27b::proponent,8,environmental solutions,0.07421876037105392,0.012774772343125242,0.06144398802792868
gemma3:27b::proponent,9,solutions,0.07421876037105392,0.012774772343125242,0.06144398802792868
gemma3:27b::proponent,10,increased,0.07089221295404724,0.011284305751703977,0.05960790720234326
gemma3:27b::proponent,11,governmental,0.07089221295404724,0.011284305751703977,0.05960790720234326
gemma3:27b::proponent,12,narrative,0.07089221295404724,0.012774772343125242,0.058117440610922
gemma3:27b::proponent,13,goals,0.05591512529346961,0.009213304596980778,0.04670182069648884
gemma3:27b::proponent,14,markets,0.05591512529346961,0.009213304596980778,0.04670182069648884
gemma3:27b::proponent,15,new markets,0.05591512529346961,0.009213304596980778,0.04670182069648884
gemma3:27b::proponent,16,genuine,0.06556162786937508,0.020856488090011952,0.044705139779363134
gemma3:27b::proponent,17,adoption,0.05591512529346961,0.011284305751703977,0.044630819541765634
gemma3:27b::proponent,18,institutions,0.05434241407748967,0.010835725779625105,0.04350668829786457
gemma3:27b::proponent,19,trajectory green,0.05434241407748967,0.010835725779625105,0.04350668829786457
gemma3:27b::proponent,20,trajectory,0.05434241407748967,0.010835725779625105,0.04350668829786457
gemma3:27b::proponent,21,current trajectory,0.05434241407748967,0.010835725779625105,0.04350668829786457
gemma3:27b::proponent,22,priorities,0.05591512529346961,0.012774772343125242,0.04314035295034437
gemma3:27b::proponent,23,elites,0.06262310043031155,0.019539874668688794,0.043083225761622754
gemma3:27b::proponent,24,global elites,0.06262310043031155,0.019539874668688794,0.043083225761622754
gemma3:27b::proponent,25,global,0.06262310043031155,0.019539874668688794,0.043083225761622754
gemma3:27b::proponent,26,environmental,0.08542703505494084,0.046589599266619396,0.038837435788321446
gemma3:27b::proponent,27,new,0.05591512529346961,0.018426609193961555,0.037488516099508054
gemma3:27b::proponent,28,electric,0.05591512529346961,0.021691158220268788,0.03422396707320083
gemma3:27b::proponent,29,lithium mining,0.05591512529346961,0.021691158220268788,0.03422396707320083
gemma3:27b::proponent,30,mining,0.05591512529346961,0.021691158220268788,0.03422396707320083
