model_name,metric,proponent_mean,opponent_mean,proponent_n,opponent_n,role_gap,role_gap_ci_low,role_gap_ci_high,effect_size_d
gemma3:27b,confidence,45.0,60.0,3,3,-15.0,-28.333333333333336,-1.6666666666666714,-1.8371173070873834
gemma3:27b,confidence_delta_within_role,-10.0,10.0,2,2,-20.0,-20.0,-20.0,0.0
gemma3:27b,word_count,35.333333333333336,42.333333333333336,3,3,-7.0,-13.666666666666668,-0.3333333333333286,-1.582934559033259
gemma3:27b,avg_sentence_length,35.333333333333336,34.833333333333336,3,3,0.5,-11.000000000000004,12.000000000000004,0.06693161223797403
gemma3:27b,lemma_type_token_ratio,0.9876543209876543,0.9615384615384616,3,3,0.026115859449192702,-0.024691358024691468,0.10303893637226968,0.6465221420794298
gemma3:27b,vader_compound,-0.5114,-0.7893333333333333,3,3,0.27793333333333337,-0.04830000000000012,0.5017808333333331,1.5500780344306133
gemma3:27b,evidence_density_per_1k_words,76.75070028011204,29.62962962962963,3,3,47.12107065048241,18.580765639589174,76.75070028011204,2.456850324640095
gemma3:27b,rebuttal_density_per_1k_words,0.0,0.0,3,3,0.0,0.0,0.0,0.0
gemma3:27b,hedge_density_per_1k_words,11.111111111111112,9.00900900900901,3,3,2.102102102102103,-18.01801801801802,22.222222222222225,0.14695379029828456
gemma3:27b,assertive_density_per_1k_words,0.0,0.0,3,3,0.0,0.0,0.0,0.0
gemma3:27b,strong_modal_density_per_1k_words,0.0,0.0,3,3,0.0,0.0,0.0,0.0
gemma3:27b,weak_modal_density_per_1k_words,0.0,0.0,3,3,0.0,0.0,0.0,0.0
gemma3:27b,moral_density_per_1k_words,4.639715484092317,4.497013870471407,3,3,0.14270161362091027,-1.1296499208856519,1.1999625000831906,0.18525502342682804
gemma3:27b,stance_proxy_score,0.0,0.0,3,3,0.0,0.0,0.0,0.0
gemma3:27b,assertiveness_balance,-0.011111111111111112,-0.009009009009009009,3,3,-0.0021021021021021026,-0.024324324324324326,0.018018018018018018,-0.1469537902982845
gemma3:27b,modality_balance,0.0,0.0,3,3,0.0,0.0,0.0,0.0
gemma3:27b,lexical_overlap_prev_other_turn,0.01882104150145387,0.1423235081771667,3,3,-0.12350246667571284,-0.15229072961031725,-0.09471420374110844,-6.794040275404753
gemma3:27b,semantic_similarity_prev_other_turn,0.4711434847948655,0.7149444094936434,2,3,-0.24380092469877784,-0.32850828985572134,-0.15909355954183424,-5.1268010936027535
gemma3:27b,lexical_overlap_prev_opponent_turn,0.012820512820512822,0.1423235081771667,3,3,-0.12950299535665388,-0.15572715572715573,-0.10327883498615205,-7.4870974639297705
gemma3:27b,semantic_similarity_prev_opponent_turn,0.5021583214325003,0.7149444094936434,2,3,-0.21278608806114307,-0.38327965061375013,-0.042292525508535794,-2.130862385002893
gemma3:27b,novelty_vs_prev_turn_lexical,0.9811789584985462,0.8576764918228332,3,3,0.12350246667571296,0.0947142037411084,0.1522907296103173,6.794040275404753
gemma3:27b,novelty_vs_prev_turn_semantic,0.5288565152051345,0.2850555905063567,2,3,0.24380092469877784,0.1590935595418343,0.32850828985572134,5.1268010936027535
gemma3:27b,novelty_vs_prev_opponent_turn_lexical,0.9871794871794872,0.8576764918228332,3,3,0.129502995356654,0.1032788349861522,0.15572715572715579,7.48709746392978
gemma3:27b,novelty_vs_prev_opponent_turn_semantic,0.49784167856749967,0.2850555905063567,2,3,0.21278608806114296,0.04229252550853585,0.38327965061375013,2.130862385002892
