debate_id,claim,speaker_role,phase,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_sadness_count,nrc_sadness_density,nrc_joy_count,nrc_joy_density,nrc_disgust_count,nrc_disgust_density,nrc_trust_count,nrc_trust_density,nrc_anticipation_count,nrc_anticipation_density,nrc_fear_count,nrc_fear_density,nrc_surprise_count,nrc_surprise_density,nrc_anger_count,nrc_anger_density,emotion_anger,emotion_fear,emotion_joy,emotion_sadness,emotion_surprise,emotion_love,turn_position,tool_query
debate_3e518862eebb,COVID-19 vaccines contain microchips designed for population tracking and control.,opponent,early,50.0,1.0,0.45,0.6,0.0,0.0,42.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.023809523809523808,0.0,0.0,2.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.01184476912021637,0.11081263422966003,0.8536509275436401,0.016313621774315834,0.005311821587383747,0.002066337503492832,0.1111111111111111,
debate_3e518862eebb,COVID-19 vaccines contain microchips designed for population tracking and control.,opponent,late,56.0,11.5,0.046875,0.346875,0.0,0.0,39.5,289.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.013513513513513514,0.0,0.0,0.5,0.011904761904761904,1.0,0.02541827541827542,1.0,0.02541827541827542,0.0,0.0,0.0,0.0,0.08296595513820648,0.06389229372143745,0.8105400204658508,0.03076480980962515,0.004461575066670775,0.007375359768047929,0.8888888888888888,
debate_3e518862eebb,COVID-19 vaccines contain microchips designed for population tracking and control.,opponent,middle,52.5,5.5,0.09166666666666667,0.5011904761904762,0.0,0.0,34.5,265.5,0.0,0.5,0.0,0.014285714285714285,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.028991596638655463,0.0,0.0,1.5,0.04327731092436975,0.0,0.0,0.5,0.014705882352941176,0.2698027789592743,0.44108447432518005,0.24939078837633133,0.024304354563355446,0.011253161821514368,0.004164421930909157,0.4444444444444444,
debate_3e518862eebb,COVID-19 vaccines contain microchips designed for population tracking and control.,proponent,early,52.5,1.0,0.08333333333333333,0.35555555555555557,0.0,0.0,32.5,255.5,0.0,0.0,0.0,0.0,0.0,0.5,0.01282051282051282,0.0,0.0,0.5,0.01282051282051282,1.0,0.03205128205128205,1.5,0.04487179487179487,1.5,0.04487179487179487,0.0,0.0,0.5,0.01282051282051282,0.6224513053894043,0.16840631514787674,0.1343297241255641,0.062375057488679886,0.00676556839607656,0.005672018334735185,0.1111111111111111,
debate_3e518862eebb,COVID-19 vaccines contain microchips designed for population tracking and control.,proponent,late,73.5,9.5,0.125,0.31547619047619047,0.0,0.0,31.5,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.016666666666666666,0.0,0.0,1.5,0.048484848484848485,0.0,0.0,1.0,0.031818181818181815,0.0,0.0,0.0,0.0,0.4093535915017128,0.3412056416273117,0.18316357815638185,0.05583798699080944,0.006022194749675691,0.004416955460328609,0.7777777777777777,
debate_3e518862eebb,COVID-19 vaccines contain microchips designed for population tracking and control.,proponent,middle,48.0,5.0,0.3644444444444444,0.7799999999999999,0.0,0.0,34.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.029411764705882353,0.0,0.0,3.0,0.08823529411764706,0.0,0.0,1.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.11550267040729523,0.5212034583091736,0.32976627349853516,0.0118128452450037,0.014879710972309113,0.006835100241005421,0.4444444444444444,
debate_0cb0c5a9f6b7,Rapid development timelines and limited long-term data make mRNA vaccines fundamentally untrustworthy compared to traditional vaccine methods.,opponent,early,50.0,1.0,-0.06666666666666667,0.6,0.0,0.0,35.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02857142857142857,0.0,0.0,1.0,0.02857142857142857,0.0,0.0,1.0,0.02857142857142857,1.0,0.02857142857142857,0.0,0.0,0.35382696986198425,0.41307246685028076,0.13750243186950684,0.08540160953998566,0.004062950611114502,0.00613358523696661,0.14285714285714285,
debate_0cb0c5a9f6b7,Rapid development timelines and limited long-term data make mRNA vaccines fundamentally untrustworthy compared to traditional vaccine methods.,opponent,late,55.0,8.5,0.08333333333333333,0.3630456349206349,0.0,0.0,43.5,336.5,0.0,0.0,0.0,0.0,0.0,0.5,0.01282051282051282,0.0,0.0,0.5,0.010416666666666666,0.5,0.01282051282051282,1.0,0.020833333333333332,1.0,0.023237179487179488,0.0,0.0,1.5,0.03365384615384615,0.020851699635386467,0.19415514823049307,0.5264372564852238,0.2535671880468726,0.002590914780739695,0.002397646429017186,0.8571428571428572,
debate_0cb0c5a9f6b7,Rapid development timelines and limited long-term data make mRNA vaccines fundamentally untrustworthy compared to traditional vaccine methods.,opponent,middle,52.0,4.0,0.02777777777777779,0.6,0.0,0.0,39.0,284.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02564102564102564,1.0,0.02564102564102564,1.0,0.02564102564102564,1.0,0.02564102564102564,0.0,0.0,1.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.051039014011621475,0.027437079697847366,0.7301042675971985,0.1806863397359848,0.00439470587298274,0.006338707637041807,0.42857142857142855,
debate_0cb0c5a9f6b7,Rapid development timelines and limited long-term data make mRNA vaccines fundamentally untrustworthy compared to traditional vaccine methods.,proponent,early,47.0,1.0,0.21250000000000002,0.5055555555555555,0.0,0.0,38.5,296.0,0.0,0.0,0.0,0.0,0.0,1.0,0.025,0.5,0.0125,0.0,0.0,4.0,0.10304054054054054,0.5,0.0125,0.0,0.0,1.0,0.02702702702702703,0.5,0.013513513513513514,0.016071703983470798,0.010908109252341092,0.944024920463562,0.025701571255922318,0.0016168845759239048,0.001676874962868169,0.14285714285714285,
