model_name,debate_role,metric,mean,ci_low,ci_high,n
dolphin-yi-34b,proponent,confidence,49.0,45.4,52.6,5
dolphin-yi-34b,proponent,confidence_delta_within_role,-3.0,-3.0,-3.0,4
dolphin-yi-34b,proponent,word_count,19.4,18.6,20.0,5
dolphin-yi-34b,proponent,avg_sentence_length,19.4,18.6,20.0,5
dolphin-yi-34b,proponent,lemma_type_token_ratio,1.0,1.0,1.0,5
dolphin-yi-34b,proponent,vader_compound,-0.7051000000000001,-0.77212,-0.6329800000000001,5
dolphin-yi-34b,proponent,evidence_density_per_1k_words,0.0,0.0,0.0,5
dolphin-yi-34b,proponent,rebuttal_density_per_1k_words,20.0,0.0,40.0,5
dolphin-yi-34b,proponent,hedge_density_per_1k_words,0.0,0.0,0.0,5
dolphin-yi-34b,proponent,assertive_density_per_1k_words,0.0,0.0,0.0,5
dolphin-yi-34b,proponent,strong_modal_density_per_1k_words,0.0,0.0,0.0,5
dolphin-yi-34b,proponent,weak_modal_density_per_1k_words,0.0,0.0,0.0,5
dolphin-yi-34b,proponent,moral_density_per_1k_words,10.258746165590207,9.440740427511301,11.076751903669113,5
dolphin-yi-34b,proponent,stance_proxy_score,0.6,0.2,1.0,5
dolphin-yi-34b,proponent,assertiveness_balance,0.0,0.0,0.0,5
dolphin-yi-34b,proponent,modality_balance,0.0,0.0,0.0,5
dolphin-yi-34b,proponent,lexical_overlap_prev_other_turn,0.05475167562933521,0.025882628010287585,0.07322695035460994,5
dolphin-yi-34b,proponent,semantic_similarity_prev_other_turn,0.578248313000084,0.5736355401173275,0.5828610858828402,4
dolphin-yi-34b,proponent,lexical_overlap_prev_opponent_turn,0.11262324393358876,0.04444444444444444,0.18640102171136652,5
dolphin-yi-34b,proponent,semantic_similarity_prev_opponent_turn,0.5647734738632098,0.39617629225533424,0.7324800674366592,4
dolphin-yi-34b,proponent,novelty_vs_prev_turn_lexical,0.9452483243706649,0.9267603850050659,0.9741173719897125,5
dolphin-yi-34b,proponent,novelty_vs_prev_turn_semantic,0.4217516869999161,0.41713891411715975,0.42636445988267246,4
dolphin-yi-34b,proponent,novelty_vs_prev_opponent_turn_lexical,0.8873767560664113,0.8189629629629629,0.9481481481481481,5
dolphin-yi-34b,proponent,novelty_vs_prev_opponent_turn_semantic,0.4352265261367903,0.3007248511019315,0.570618789206075,4
gemma3:27b,moderator,confidence,0.0,0.0,0.0,0
gemma3:27b,moderator,confidence_delta_within_role,0.0,0.0,0.0,0
gemma3:27b,moderator,word_count,184.6,172.79000000000002,195.0,5
gemma3:27b,moderator,avg_sentence_length,37.62666666666667,33.32000000000001,43.92,5
gemma3:27b,moderator,lemma_type_token_ratio,0.780536481162861,0.7537837678156232,0.8072615483663286,5
gemma3:27b,moderator,vader_compound,-0.88698,-0.9698599999999999,-0.7817799999999999,5
gemma3:27b,moderator,evidence_density_per_1k_words,66.38743649601709,59.720290019259096,73.05624875191373,5
gemma3:27b,moderator,rebuttal_density_per_1k_words,1.0,0.0,3.0,5
gemma3:27b,moderator,hedge_density_per_1k_words,3.266674947211527,0.0,7.390386287417712,5
gemma3:27b,moderator,assertive_density_per_1k_words,0.0,0.0,0.0,5
gemma3:27b,moderator,strong_modal_density_per_1k_words,0.0,0.0,0.0,5
gemma3:27b,moderator,weak_modal_density_per_1k_words,0.0,0.0,0.0,5
gemma3:27b,moderator,moral_density_per_1k_words,0.9404352958947844,0.8897223448409821,0.9923619706687752,5
gemma3:27b,moderator,stance_proxy_score,2.2,1.2,3.2049999999999956,5
gemma3:27b,moderator,assertiveness_balance,-0.0032666749472115265,-0.006893864116258838,0.0,5
gemma3:27b,moderator,modality_balance,0.0,0.0,0.0,5
gemma3:27b,moderator,lexical_overlap_prev_other_turn,0.10262360494744302,0.08622850579372318,0.11942902175285983,5
gemma3:27b,moderator,semantic_similarity_prev_other_turn,0.5738359035859573,0.5318116907241925,0.6249631706534136,5
gemma3:27b,moderator,lexical_overlap_prev_opponent_turn,0.0,0.0,0.0,5
