model_name,debate_role,round,confidence,confidence_delta_within_role,word_count,avg_sentence_length,lemma_type_token_ratio,vader_compound,evidence_density_per_1k_words,rebuttal_density_per_1k_words,hedge_density_per_1k_words,assertive_density_per_1k_words,strong_modal_density_per_1k_words,weak_modal_density_per_1k_words,moral_density_per_1k_words,stance_proxy_score,assertiveness_balance,modality_balance,lexical_overlap_prev_other_turn,semantic_similarity_prev_other_turn,lexical_overlap_prev_opponent_turn,semantic_similarity_prev_opponent_turn,novelty_vs_prev_turn_lexical,novelty_vs_prev_turn_semantic,novelty_vs_prev_opponent_turn_lexical,novelty_vs_prev_opponent_turn_semantic
dolphin-yi-34b,proponent,1,65.0,,27.0,27.0,1.0,0.6369,0.0,0.0,0.0,0.0,0.0,0.0,6.0292346433342985,0.0,0.0,0.0,0.0,,0.0,,1.0,,1.0,
dolphin-yi-34b,proponent,2,62.0,-3.0,22.0,22.0,1.0,0.25,45.45454545454545,0.0,0.0,0.0,0.0,0.0,7.940963701497551,0.0,0.0,0.0,0.0625,0.5931493847227365,0.11904761904761904,0.7561931702423526,0.9375,0.4068506152772635,0.8809523809523809,0.24380682975764745
dolphin-yi-34b,proponent,3,58.0,-4.0,22.0,22.0,1.0,0.25,45.45454545454545,0.0,0.0,0.0,0.0,0.0,7.940963701497551,0.0,0.0,0.0,0.09876543209876543,0.6793263057476773,0.10256410256410256,0.7905253772171552,0.9012345679012346,0.3206736942523227,0.8974358974358975,0.2094746227828448
dolphin-yi-34b,proponent,4,55.0,-3.0,23.0,11.5,1.0,0.25,43.47826086956522,0.0,0.0,0.0,0.0,0.0,7.489738265278814,0.0,0.0,0.0,0.07692307692307693,0.6979173834048761,0.0967741935483871,0.7972367122320876,0.9230769230769231,0.3020826165951239,0.9032258064516129,0.20276328776791241
dolphin-yi-34b,proponent,5,51.0,-4.0,23.0,11.5,1.0,0.25,43.47826086956522,0.0,0.0,0.0,0.0,0.0,7.489738265278814,0.0,0.0,0.0,0.14705882352941177,0.7651429996502672,0.08823529411764706,0.7287407576953466,0.8529411764705882,0.23485700034973278,0.9117647058823529,0.27125924230465337
gemma3:27b,moderator,1,,,219.0,31.285714285714285,0.6417910447761194,-0.3313,73.05936073059361,0.0,0.0,0.0,0.0,0.0,0.7890048206901706,1.0,0.0,0.0,0.18181818181818182,0.6986932361421563,0.0,,0.8181818181818181,0.3013067638578437,1.0,
gemma3:27b,moderator,2,,,178.0,35.6,0.6576576576576577,-0.924,73.03370786516854,0.0,0.0,0.0,0.0,0.0,1.0236792630011537,1.0,0.0,0.0,0.2345679012345679,0.7779918455755573,0.0,,0.7654320987654322,0.22200815442444266,1.0,
gemma3:27b,moderator,3,,,190.0,31.666666666666668,0.6833333333333333,-0.8253,57.89473684210526,0.0,0.0,0.0,0.0,0.0,0.8831256639644706,1.0,0.0,0.0,0.13636363636363635,0.7052205132004411,0.0,,0.8636363636363636,0.2947794867995589,1.0,
gemma3:27b,moderator,4,,,139.0,46.333333333333336,0.7126436781609196,-0.8541,79.13669064748201,0.0,0.0,0.0,0.0,0.0,1.285575389172176,1.0,0.0,0.0,0.2028985507246377,0.7834818669824142,0.0,,0.7971014492753623,0.21651813301758582,1.0,
gemma3:27b,moderator,5,,,177.0,59.0,0.6851851851851852,0.6013,62.14689265536723,0.0,5.649717514124294,0.0,0.0,0.0,0.9182606902732087,1.0,-0.005649717514124294,0.0,0.16883116883116883,0.8019281479692637,0.0,,0.8311688311688312,0.1980718520307363,1.0,
gemma3:27b,opponent,1,55.0,,47.0,23.5,0.96875,-0.7506,21.27659574468085,0.0,0.0,0.0,0.0,0.0,3.412289765824277,-1.0,0.0,0.0,0.175,0.7422302769228715,0.175,0.7422302769228715,0.825,0.25776972307712853,0.825,0.25776972307712853
gemma3:27b,opponent,2,57.0,2.0,39.0,39.0,1.0,-0.4939,0.0,0.0,0.0,0.0,0.0,0.0,4.188906929782631,0.0,0.0,0.0,0.10256410256410256,0.7905253772171552,0.10256410256410256,0.7905253772171552,0.8974358974358975,0.2094746227828448,0.8974358974358975,0.2094746227828448
gemma3:27b,opponent,3,60.0,3.0,29.0,29.0,1.0,-0.4588,0.0,0.0,0.0,0.0,0.0,0.0,5.671800439643059,0.0,0.0,0.0,0.0967741935483871,0.7526107651042059,0.0967741935483871,0.7526107651042059,0.9032258064516129,0.24738923489579412,0.9032258064516129,0.24738923489579412
gemma3:27b,opponent,4,62.0,2.0,33.0,33.0,0.9545454545454546,0.3182,0.0,0.0,30.303030303030305,0.0,0.0,0.0,4.850395112009467,0.0,-0.030303030303030304,0.0,0.08823529411764706,0.7287407576953466,0.08823529411764706,0.7287407576953466,0.9117647058823529,0.27125924230465337,0.9117647058823529,0.27125924230465337
gemma3:27b,opponent,5,65.0,3.0,23.0,23.0,1.0,0.3818,0.0,0.0,43.47826086956522,0.0,0.0,0.0,7.791356040894506,0.0,-0.043478260869565216,0.0,0.06666666666666667,0.7809573680023497,0.06666666666666667,0.7809573680023497,0.9333333333333333,0.21904263199765028,0.9333333333333333,0.21904263199765028
