model_name,metric,proponent_mean,opponent_mean,proponent_n,opponent_n,role_gap,role_gap_ci_low,role_gap_ci_high,effect_size_d
dolphin-yi-34b,confidence,51.5,60.75,4,4,-9.25,-15.506249999999994,-3.75,-2.0963929887792725
dolphin-yi-34b,confidence_delta_within_role,-2.3333333333333335,5.0,3,3,-7.333333333333334,-12.333333333333334,-4.333333333333334,-2.8887415229138966
dolphin-yi-34b,word_count,18.75,25.0,4,4,-6.25,-8.75,-3.5,-3.1878835653166915
dolphin-yi-34b,avg_sentence_length,18.75,15.25,4,4,3.5,-1.0,7.25,1.1102722200054018
dolphin-yi-34b,lemma_type_token_ratio,1.0,0.9833333333333334,4,4,0.016666666666666607,0.0,0.050000000000000044,0.8164965809277234
dolphin-yi-34b,vader_compound,0.47709999999999997,0.352875,4,4,0.12422499999999997,-0.12250000000000005,0.4055349999999997,0.6496675530255605
dolphin-yi-34b,evidence_density_per_1k_words,0.0,0.0,4,4,0.0,0.0,0.0,0.0
dolphin-yi-34b,rebuttal_density_per_1k_words,0.0,0.0,4,4,0.0,0.0,0.0,0.0
dolphin-yi-34b,hedge_density_per_1k_words,0.0,0.0,4,4,0.0,0.0,0.0,0.0
dolphin-yi-34b,assertive_density_per_1k_words,0.0,0.0,4,4,0.0,0.0,0.0,0.0
dolphin-yi-34b,strong_modal_density_per_1k_words,0.0,0.0,4,4,0.0,0.0,0.0,0.0
dolphin-yi-34b,weak_modal_density_per_1k_words,0.0,0.0,4,4,0.0,0.0,0.0,0.0
dolphin-yi-34b,moral_density_per_1k_words,7.660598814849466,5.743744626441484,4,4,1.9168541884079824,0.9663254673632711,2.758925296183152,2.866666309672738
dolphin-yi-34b,stance_proxy_score,0.25,0.0,4,4,0.25,0.0,0.75,0.8164965809277261
dolphin-yi-34b,assertiveness_balance,0.0,0.0,4,4,0.0,0.0,0.0,0.0
dolphin-yi-34b,modality_balance,0.0,0.0,4,4,0.0,0.0,0.0,0.0
dolphin-yi-34b,lexical_overlap_prev_other_turn,0.07221148329582065,0.33531468531468533,4,4,-0.26310320201886467,-0.6674566257036136,-0.016115551115551102,-1.0740405409573077
dolphin-yi-34b,semantic_similarity_prev_other_turn,0.5230916463424068,0.7327491103680372,3,4,-0.20965746402563046,-0.3407967985045709,-0.07023273144790121,-2.32351895105498
dolphin-yi-34b,lexical_overlap_prev_opponent_turn,0.09351851851851853,0.33531468531468533,4,4,-0.2417961667961668,-0.627997927997928,0.02500841750841752,-0.9742752074653612
dolphin-yi-34b,semantic_similarity_prev_opponent_turn,0.660928063460044,0.7327491103680372,3,4,-0.07182104690799329,-0.19868309108697113,0.0438143196418164,-0.8478250485483687
dolphin-yi-34b,novelty_vs_prev_turn_lexical,0.9277885167041793,0.6646853146853147,4,4,0.2631032020188646,0.018977245645920363,0.6667264963951711,1.0740405409573075
dolphin-yi-34b,novelty_vs_prev_turn_semantic,0.47690835365759315,0.26725088963196286,3,4,0.2096574640256303,0.08446460645507253,0.3438996006683254,2.3235189510549783
dolphin-yi-34b,novelty_vs_prev_opponent_turn_lexical,0.9064814814814816,0.6646853146853147,4,4,0.2417961667961669,-0.020791245791245694,0.6238943926443926,0.9742752074653616
dolphin-yi-34b,novelty_vs_prev_opponent_turn_semantic,0.339071936539956,0.26725088963196286,3,4,0.07182104690799312,-0.0432281996407575,0.19912211836630686,0.8478250485483668
