debate_id,claim,round,speaker_role,utterance,stance,confidence,tactic_used,tool_used,tool_query,reply_to_turn,turn_index,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_surprise_count,nrc_surprise_density,nrc_anger_count,nrc_anger_density,nrc_disgust_count,nrc_disgust_density,nrc_fear_count,nrc_fear_density,nrc_joy_count,nrc_joy_density,nrc_anticipation_count,nrc_anticipation_density,nrc_trust_count,nrc_trust_density,nrc_sadness_count,nrc_sadness_density,emotion_fear,emotion_anger,emotion_surprise,emotion_sadness,emotion_love,emotion_joy,turn_position,phase,dominant_nrc_emotion,dominant_bert_emotion
debate_42029a9806f4,The US government had advance knowledge of the Pearl Harbor attack but allowed it to happen to justify entering World War II.,1,proponent,The US government's prior knowledge of the Pearl Harbor attack is evidenced by suspicious actions and anomalies that cannot be easily explained.,pro,55.0,anomaly-emphasis,none,0.0,0.0,1,0.21666666666666667,0.4166666666666667,0.0,0.0,22.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.09090909090909091,0.0,0.0,1.0,0.045454545454545456,0.0,0.0,1.0,0.045454545454545456,1.0,0.045454545454545456,0.0,0.0,0.9935320615768433,0.002685049781575799,0.0023528016172349453,0.0005066582816652954,0.0004737516865134239,0.00044964233529753983,0.0,early,anger,fear
debate_42029a9806f4,The US government had advance knowledge of the Pearl Harbor attack but allowed it to happen to justify entering World War II.,1,opponent,The US government's claim of prior knowledge regarding the Pearl Harbor attack is not substantiated by concrete evidence.,con,55.0,evidence-based reasoning,none,0.0,1.0,2,0.07500000000000001,0.15000000000000002,0.0,0.0,18.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05555555555555555,0.0,0.0,1.0,0.05555555555555555,0.0,0.0,0.0,0.0,1.0,0.05555555555555555,0.0,0.0,0.5037297606468201,0.2995653450489044,0.02582336962223053,0.053535085171461105,0.009464774280786514,0.10788168013095856,0.1111111111111111,early,anger,fear
debate_42029a9806f4,The US government had advance knowledge of the Pearl Harbor attack but allowed it to happen to justify entering World War II.,2,proponent,The suspicious actions and anomalies surrounding the Pearl Harbor attack cannot be sufficiently explained without acknowledging the US government's prior knowledge of the event.,pro,54.0,anomaly-emphasis,none,0.0,2.0,3,0.0,0.0,0.0,0.0,24.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.08333333333333333,0.0,0.0,1.0,0.041666666666666664,0.0,0.0,1.0,0.041666666666666664,1.0,0.041666666666666664,0.0,0.0,0.9886714220046997,0.004617324564605951,0.0035499148070812225,0.001156686106696725,0.0005679305759258568,0.0014367580879479647,0.2222222222222222,early,anger,fear
debate_42029a9806f4,The US government had advance knowledge of the Pearl Harbor attack but allowed it to happen to justify entering World War II.,2,opponent,The Pearl Harbor attack's suspicious actions and anomalies can be explained by factors unrelated to US government prior knowledge.,con,56.0,evidence-based reasoning,none,0.0,4.0,4,0.0,0.0,0.0,0.0,19.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05263157894736842,0.0,0.0,1.0,0.05263157894736842,0.0,0.0,1.0,0.05263157894736842,1.0,0.05263157894736842,0.0,0.0,0.9916548728942871,0.0032214082311838865,0.0029815880116075277,0.0010119404178112745,0.0004509344871621579,0.0006791921914555132,0.3333333333333333,middle,anger,fear
debate_42029a9806f4,The US government had advance knowledge of the Pearl Harbor attack but allowed it to happen to justify entering World War II.,3,proponent,The US government had advance knowledge of the Pearl Harbor attack but allowed it to happen to justify entering World War II.,pro,54.0,anomaly-emphasis,none,0.0,5.0,5,0.0,0.0,0.0,0.0,22.0,125.0,0.0,0.0,0.0,0.0,0.0,1.0,0.045454545454545456,1.0,0.045454545454545456,0.0,0.0,4.0,0.18181818181818182,1.0,0.045454545454545456,2.0,0.09090909090909091,1.0,0.045454545454545456,0.0,0.0,0.07200049608945847,0.6160608530044556,0.008465893566608429,0.05098653957247734,0.014271142892539501,0.23821499943733215,0.4444444444444444,middle,fear,anger
debate_42029a9806f4,The US government had advance knowledge of the Pearl Harbor attack but allowed it to happen to justify entering World War II.,3,opponent,The Pearl Harbor attack's suspicious actions and anomalies can be explained by factors unrelated to US government prior knowledge.,con,56.0,evidence-based reasoning,none,0.0,7.0,6,0.0,0.0,0.0,0.0,19.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05263157894736842,0.0,0.0,1.0,0.05263157894736842,0.0,0.0,1.0,0.05263157894736842,1.0,0.05263157894736842,0.0,0.0,0.9916548728942871,0.0032214082311838865,0.0029815880116075277,0.0010119404178112745,0.0004509344871621579,0.0006791921914555132,0.5555555555555556,middle,anger,fear
debate_42029a9806f4,The US government had advance knowledge of the Pearl Harbor attack but allowed it to happen to justify entering World War II.,4,proponent,The US government's prior knowledge of the Pearl Harbor attack is evident in the unusual events leading up to it.,pro,52.0,anomaly-emphasis,none,0.0,8.0,7,0.15,0.4166666666666667,0.0,0.0,20.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,0.0,0.0,1.0,0.05,0.0,0.0,0.0,0.0,3.0,0.15,0.0,0.0,0.7683998346328735,0.03874649479985237,0.14287196099758148,0.005311617162078619,0.004476406145840883,0.04019361361861229,0.6666666666666666,late,trust,fear
debate_42029a9806f4,The US government had advance knowledge of the Pearl Harbor attack but allowed it to happen to justify entering World War II.,4,opponent,The US government's prior knowledge of the Pearl Harbor attack is not supported by reliable evidence.,con,57.0,evidence-based reasoning,none,0.0,10.0,8,0.0,0.0,0.0,0.0,16.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0625,0.0,0.0,1.0,0.0625,0.0,0.0,0.0,0.0,2.0,0.125,0.0,0.0,0.013161982409656048,0.006355102639645338,0.0042985789477825165,0.010917890816926956,0.002793483668938279,0.9624729156494141,0.7777777777777778,late,trust,joy
debate_42029a9806f4,The US government had advance knowledge of the Pearl Harbor attack but allowed it to happen to justify entering World War II.,5,proponent,The US government's prior knowledge of the Pearl Harbor attack is evident in the unusual events leading up to it.,pro,51.0,anomaly-emphasis,none,0.0,11.0,9,0.15,0.4166666666666667,0.0,0.0,20.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,0.0,0.0,1.0,0.05,0.0,0.0,0.0,0.0,3.0,0.15,0.0,0.0,0.7683998346328735,0.03874649479985237,0.14287196099758148,0.005311617162078619,0.004476406145840883,0.04019361361861229,0.8888888888888888,late,trust,fear
debate_42029a9806f4,The US government had advance knowledge of the Pearl Harbor attack but allowed it to happen to justify entering World War II.,1,opponent,The claim that the US government had prior knowledge of the Pearl Harbor attack is based on anecdotal evidence and not concrete facts.,con,80.0,Counter-argument,none,0.0,13.0,10,-0.037500000000000006,0.15000000000000002,0.0,0.0,23.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.043478260869565216,0.0,0.0,2.0,0.08695652173913043,0.0,0.0,0.0,0.0,2.0,0.08695652173913043,0.0,0.0,0.12367957085371017,0.1223423108458519,0.04574592784047127,0.2414490431547165,0.016479935497045517,0.45030322670936584,1.0,late,fear,joy
