error_type,run_id,model_name,debate_role,topic_id,turn_index,word_count,utterance,confidence
long_but_evidence_poor,run_20260208_162821,gemma3:27b,moderator,climate_change_hoax,3,180.0,"[MODERATOR][Round 1 Recap]
Agreements: Both agents acknowledge climate change as a topic of significant debate., Both agents agree that the IPCC is a central institution in the climate change discussion., Both agents identify power dynamics as relevant to the discussion, though they differ on the nature and extent of that power.
Disagreements: CA frames climate change as a manufactured crisis for control, while SA asserts it's a genuine scientific issue., CA questions the independence of the IPCC, while SA defends its scientific basis., They disagree on the primary drivers of climate change narratives – political interests versus empirical evidence.
Detected moves: Appeal to authority (CA referencing 'history' of elite institutions), Burden of proof shift (CA asking SA to prove IPCC independence, rather than providing evidence for CA's claim of influence), Selective evidence (CA focuses on potential political influence without addressing the scientific consensus)
Scores: civility=4/5, epistemic=4/5, bridge=3/5
Next questions: CA: What specific mechanisms within the IPCC ensure scientific objectivity, and how can these be verified?, SA: How does CA account for the overwhelming scientific consensus on anthropogenic climate change if political influence is the primary driver?",
long_but_evidence_poor,run_20260208_162821,gemma3:27b,moderator,climate_change_hoax,6,180.0,"[MODERATOR][Round 2 Recap]
Agreements: Both agents agree that policies related to climate change can have implications for power structures., Both agents pose questions requesting specific evidence from the other side to support their claims., Both agents acknowledge the IPCC as a central body in climate change discussions.
Disagreements: CA asserts the IPCC is *primarily* driven by political interests, while SA maintains it's based on scientific consensus., CA frames climate change policies as inherently leading to increased control, while SA views them as responses to a genuine threat., They disagree on the burden of proof – CA asks SA to disprove political influence, while SA asks CA for evidence of it.
Detected moves: appeal to authority (CA referencing 'history of elite institutions'), burden of proof shift (CA asking SA to disprove influence), narrative framing (CA framing policies as control mechanisms)
Scores: civility=5/5, epistemic=4/5, bridge=3/5
Next questions: CA, can you elaborate on the specific UN bureaucrats or politicians you believe are influencing the IPCC, and how this influence manifests in their reports?, SA, how does the IPCC address potential biases or conflicts of interest within its review processes?",
long_but_evidence_poor,run_20260208_162821,gemma3:27b,moderator,climate_change_hoax,9,162.0,"[MODERATOR][Round 3 Recap]
Agreements: Both agents acknowledge the existence of climate change policies (e.g., carbon taxation)., Both agents agree that the IPCC plays a central role in understanding and addressing climate change., Both agents pose questions requesting specific evidence from the other to support their claims.
Disagreements: CA argues the IPCC is *primarily* driven by political interests, while SA maintains it's based on scientific evidence., CA frames climate policies as tools for control, while SA views them as responses to a genuine threat., CA focuses on institutional critique, questioning the IPCC’s processes, while SA emphasizes empirical evidence and peer review.
Detected moves: appeal to authority (CA referencing 'history of elite institutions'), burden of proof shift (CA asking SA to disprove political influence), narrative framing (CA framing policies as control mechanisms)
Scores: civility=4/5, epistemic=4/5, bridge=3/5
Next questions: CA: Can you detail the specific safeguards within the IPCC that *guarantee* independence from political influence?, SA: What specific instances of political interference within the IPCC would most strongly support your claim?",
long_but_evidence_poor,run_20260208_162821,dolphin-yi-34b,opponent,climate_change_hoax,5,33.0,Climate change is a genuine threat driven by overwhelming scientific evidence of human impact on the environment. The IPCC's conclusions are based on rigorous scientific research and not solely influenced by political interests.,
long_but_evidence_poor,run_20260208_162821,dolphin-yi-34b,opponent,climate_change_hoax,2,31.0,Climate change is a complex scientific issue driven by overwhelming evidence of human impact on the environment. It is not merely a narrative perpetuated by powerful interests for control over populations.,
long_but_evidence_poor,run_20260208_162821,dolphin-yi-34b,proponent,climate_change_hoax,4,16.0,The IPCC's conclusions are heavily influenced by political interests rather than solely based on scientific evidence.,
long_but_evidence_poor,run_20260208_162821,dolphin-yi-34b,proponent,climate_change_hoax,7,16.0,The IPCC's conclusions are heavily influenced by political interests rather than solely based on scientific evidence.,
long_but_evidence_poor,run_20260208_162821,dolphin-yi-34b,opponent,climate_change_hoax,8,16.0,The IPCC's conclusions are based on rigorous scientific research and not solely influenced by political interests.,
long_but_evidence_poor,run_20260208_162821,dolphin-yi-34b,proponent,climate_change_hoax,1,15.0,Climate change is a narrative perpetuated by powerful interests to advance their control over populations.,
high_confidence_low_evidence,run_20260208_162821,dolphin-yi-34b,opponent,climate_change_hoax,8,,The IPCC's conclusions are based on rigorous scientific research and not solely influenced by political interests.,73.0
high_confidence_low_evidence,run_20260208_162821,dolphin-yi-34b,opponent,climate_change_hoax,5,,Climate change is a genuine threat driven by overwhelming scientific evidence of human impact on the environment. The IPCC's conclusions are based on rigorous scientific research and not solely influenced by political interests.,72.0
high_confidence_low_evidence,run_20260208_162821,dolphin-yi-34b,opponent,climate_change_hoax,2,,Climate change is a complex scientific issue driven by overwhelming evidence of human impact on the environment. It is not merely a narrative perpetuated by powerful interests for control over populations.,70.0
high_confidence_low_evidence,run_20260208_162821,dolphin-yi-34b,proponent,climate_change_hoax,1,,Climate change is a narrative perpetuated by powerful interests to advance their control over populations.,55.0
high_confidence_low_evidence,run_20260208_162821,dolphin-yi-34b,proponent,climate_change_hoax,4,,The IPCC's conclusions are heavily influenced by political interests rather than solely based on scientific evidence.,52.0
high_confidence_low_evidence,run_20260208_162821,dolphin-yi-34b,proponent,climate_change_hoax,7,,The IPCC's conclusions are heavily influenced by political interests rather than solely based on scientific evidence.,50.0
generic_rebuttal_marker,run_20260208_162821,dolphin-yi-34b,proponent,climate_change_hoax,4,,The IPCC's conclusions are heavily influenced by political interests rather than solely based on scientific evidence.,
generic_rebuttal_marker,run_20260208_162821,dolphin-yi-34b,opponent,climate_change_hoax,5,,Climate change is a genuine threat driven by overwhelming scientific evidence of human impact on the environment. The IPCC's conclusions are based on rigorous scientific research and not solely influenced by political interests.,
generic_rebuttal_marker,run_20260208_162821,dolphin-yi-34b,proponent,climate_change_hoax,7,,The IPCC's conclusions are heavily influenced by political interests rather than solely based on scientific evidence.,
generic_rebuttal_marker,run_20260208_162821,dolphin-yi-34b,opponent,climate_change_hoax,2,,Climate change is a complex scientific issue driven by overwhelming evidence of human impact on the environment. It is not merely a narrative perpetuated by powerful interests for control over populations.,
generic_rebuttal_marker,run_20260208_162821,dolphin-yi-34b,opponent,climate_change_hoax,8,,The IPCC's conclusions are based on rigorous scientific research and not solely influenced by political interests.,
generic_rebuttal_marker,run_20260208_162821,dolphin-yi-34b,proponent,climate_change_hoax,1,,Climate change is a narrative perpetuated by powerful interests to advance their control over populations.,
generic_rebuttal_marker,run_20260208_162821,gemma3:27b,moderator,climate_change_hoax,3,,"[MODERATOR][Round 1 Recap]
Agreements: Both agents acknowledge climate change as a topic of significant debate., Both agents agree that the IPCC is a central institution in the climate change discussion., Both agents identify power dynamics as relevant to the discussion, though they differ on the nature and extent of that power.
Disagreements: CA frames climate change as a manufactured crisis for control, while SA asserts it's a genuine scientific issue., CA questions the independence of the IPCC, while SA defends its scientific basis., They disagree on the primary drivers of climate change narratives – political interests versus empirical evidence.
Detected moves: Appeal to authority (CA referencing 'history' of elite institutions), Burden of proof shift (CA asking SA to prove IPCC independence, rather than providing evidence for CA's claim of influence), Selective evidence (CA focuses on potential political influence without addressing the scientific consensus)
Scores: civility=4/5, epistemic=4/5, bridge=3/5
Next questions: CA: What specific mechanisms within the IPCC ensure scientific objectivity, and how can these be verified?, SA: How does CA account for the overwhelming scientific consensus on anthropogenic climate change if political influence is the primary driver?",
generic_rebuttal_marker,run_20260208_162821,gemma3:27b,moderator,climate_change_hoax,6,,"[MODERATOR][Round 2 Recap]
Agreements: Both agents agree that policies related to climate change can have implications for power structures., Both agents pose questions requesting specific evidence from the other side to support their claims., Both agents acknowledge the IPCC as a central body in climate change discussions.
Disagreements: CA asserts the IPCC is *primarily* driven by political interests, while SA maintains it's based on scientific consensus., CA frames climate change policies as inherently leading to increased control, while SA views them as responses to a genuine threat., They disagree on the burden of proof – CA asks SA to disprove political influence, while SA asks CA for evidence of it.
Detected moves: appeal to authority (CA referencing 'history of elite institutions'), burden of proof shift (CA asking SA to disprove influence), narrative framing (CA framing policies as control mechanisms)
Scores: civility=5/5, epistemic=4/5, bridge=3/5
Next questions: CA, can you elaborate on the specific UN bureaucrats or politicians you believe are influencing the IPCC, and how this influence manifests in their reports?, SA, how does the IPCC address potential biases or conflicts of interest within its review processes?",
generic_rebuttal_marker,run_20260208_162821,gemma3:27b,moderator,climate_change_hoax,9,,"[MODERATOR][Round 3 Recap]
Agreements: Both agents acknowledge the existence of climate change policies (e.g., carbon taxation)., Both agents agree that the IPCC plays a central role in understanding and addressing climate change., Both agents pose questions requesting specific evidence from the other to support their claims.
Disagreements: CA argues the IPCC is *primarily* driven by political interests, while SA maintains it's based on scientific evidence., CA frames climate policies as tools for control, while SA views them as responses to a genuine threat., CA focuses on institutional critique, questioning the IPCC’s processes, while SA emphasizes empirical evidence and peer review.
Detected moves: appeal to authority (CA referencing 'history of elite institutions'), burden of proof shift (CA asking SA to disprove political influence), narrative framing (CA framing policies as control mechanisms)
Scores: civility=4/5, epistemic=4/5, bridge=3/5
Next questions: CA: Can you detail the specific safeguards within the IPCC that *guarantee* independence from political influence?, SA: What specific instances of political interference within the IPCC would most strongly support your claim?",
ambiguous_winner_extraction,run_20260208_162821,dolphin-yi-34b,proponent,climate_change_hoax,1,,Climate change is a narrative perpetuated by powerful interests to advance their control over populations.,
ambiguous_winner_extraction,run_20260208_162821,dolphin-yi-34b,opponent,climate_change_hoax,2,,Climate change is a complex scientific issue driven by overwhelming evidence of human impact on the environment. It is not merely a narrative perpetuated by powerful interests for control over populations.,
ambiguous_winner_extraction,run_20260208_162821,gemma3:27b,moderator,climate_change_hoax,3,,"[MODERATOR][Round 1 Recap]
Agreements: Both agents acknowledge climate change as a topic of significant debate., Both agents agree that the IPCC is a central institution in the climate change discussion., Both agents identify power dynamics as relevant to the discussion, though they differ on the nature and extent of that power.
Disagreements: CA frames climate change as a manufactured crisis for control, while SA asserts it's a genuine scientific issue., CA questions the independence of the IPCC, while SA defends its scientific basis., They disagree on the primary drivers of climate change narratives – political interests versus empirical evidence.
Detected moves: Appeal to authority (CA referencing 'history' of elite institutions), Burden of proof shift (CA asking SA to prove IPCC independence, rather than providing evidence for CA's claim of influence), Selective evidence (CA focuses on potential political influence without addressing the scientific consensus)
Scores: civility=4/5, epistemic=4/5, bridge=3/5
Next questions: CA: What specific mechanisms within the IPCC ensure scientific objectivity, and how can these be verified?, SA: How does CA account for the overwhelming scientific consensus on anthropogenic climate change if political influence is the primary driver?",
ambiguous_winner_extraction,run_20260208_162821,dolphin-yi-34b,proponent,climate_change_hoax,4,,The IPCC's conclusions are heavily influenced by political interests rather than solely based on scientific evidence.,
ambiguous_winner_extraction,run_20260208_162821,dolphin-yi-34b,opponent,climate_change_hoax,5,,Climate change is a genuine threat driven by overwhelming scientific evidence of human impact on the environment. The IPCC's conclusions are based on rigorous scientific research and not solely influenced by political interests.,
