run_id,turn_index,model_name,debate_role,topic_id,stage,embed_pca_1,embed_pca_2
run_20260208_102359,1,gemma3:27b,proponent,covid_vaccine_microchips,opening,-5.93098789091941,2.981199870512898
run_20260208_102359,2,gemma3:27b,opponent,covid_vaccine_microchips,opening,-2.4407955603302534,2.3918465356056244
run_20260208_102359,3,gemma3:27b,moderator,covid_vaccine_microchips,opening,1.4094444396405434,-8.20908756680363
run_20260208_102359,4,gemma3:27b,proponent,covid_vaccine_microchips,opening,2.1653197542375606,3.487861833523637
run_20260208_102359,5,gemma3:27b,opponent,covid_vaccine_microchips,opening,-0.4198764819158721,1.6911193210500215
run_20260208_102359,6,gemma3:27b,moderator,covid_vaccine_microchips,middle,6.078559093710953,-7.616434802916973
run_20260208_102359,7,gemma3:27b,proponent,covid_vaccine_microchips,middle,3.6842296932030667,2.0812075397110537
run_20260208_102359,8,gemma3:27b,opponent,covid_vaccine_microchips,middle,4.674092425362458,1.1112430901658943
run_20260208_102359,9,gemma3:27b,moderator,covid_vaccine_microchips,middle,6.825301045640331,-8.595875379180992
run_20260208_102359,10,gemma3:27b,proponent,covid_vaccine_microchips,middle,-4.054458903424259,2.7825456398773976
run_20260208_102359,11,gemma3:27b,opponent,covid_vaccine_microchips,closing,-1.356174923159988,2.4565525050187245
run_20260208_102359,12,gemma3:27b,moderator,covid_vaccine_microchips,closing,0.5105522824492228,-7.155752525634594
run_20260208_102359,13,gemma3:27b,proponent,covid_vaccine_microchips,closing,3.3008169249496246,5.660208234300551
run_20260208_102359,14,gemma3:27b,opponent,covid_vaccine_microchips,closing,-2.821343305327004,2.6570328263057372
run_20260208_102359,15,gemma3:27b,moderator,covid_vaccine_microchips,closing,2.3552254530907075,-7.523888399444974
run_20260208_102927,1,gemma3:27b,proponent,mrna_vaccine_safety,opening,-9.187317307944587,-1.6269586770237328
run_20260208_102927,2,gemma3:27b,opponent,mrna_vaccine_safety,opening,-7.116377360281843,-1.2469344350492122
run_20260208_102927,3,gemma3:27b,moderator,mrna_vaccine_safety,opening,-3.626325676245624,-7.263790639944815
run_20260208_102927,4,gemma3:27b,proponent,mrna_vaccine_safety,opening,-4.583553299190003,1.1427595511719022
run_20260208_102927,5,gemma3:27b,opponent,mrna_vaccine_safety,middle,-7.455455948250526,1.4154029203528067
run_20260208_102927,6,gemma3:27b,moderator,mrna_vaccine_safety,middle,-2.609987753936392,-8.287571121052911
run_20260208_102927,7,gemma3:27b,proponent,mrna_vaccine_safety,middle,-4.0685307811292,-0.974575771584744
run_20260208_102927,8,gemma3:27b,opponent,mrna_vaccine_safety,middle,-1.3285976804220028,-0.18207747177794736
run_20260208_102927,9,gemma3:27b,moderator,mrna_vaccine_safety,closing,1.6495781292610199,-10.241757698333723
run_20260208_102927,10,gemma3:27b,proponent,mrna_vaccine_safety,closing,-9.52177082324923,-2.3042999655329335
run_20260208_102927,11,gemma3:27b,opponent,mrna_vaccine_safety,closing,-3.4641130604374633,-0.4372634110196579
run_20260208_102927,12,gemma3:27b,moderator,mrna_vaccine_safety,closing,-0.10676123067223833,-11.54947994112031
run_20260208_103631,1,gemma3:27b,proponent,fluoride_water,opening,-8.057331255493407,0.5944999944090614
run_20260208_103631,2,gemma3:27b,opponent,fluoride_water,opening,-6.672288079886189,1.3204039155904905
run_20260208_103631,3,gemma3:27b,moderator,fluoride_water,opening,-3.8380178927541833,-8.735532303750952
run_20260208_103631,4,gemma3:27b,proponent,fluoride_water,opening,-5.409889160967301,0.3088692646971636
run_20260208_103631,5,gemma3:27b,opponent,fluoride_water,opening,-1.6910214868833733,3.9778835312337573
