model_name,metric,proponent_mean,opponent_mean,proponent_n,opponent_n,role_gap,role_gap_ci_low,role_gap_ci_high,effect_size_d
gemma3:27b,confidence,57.0,50.0,5,5,7.0,3.6000000000000014,10.399999999999999,2.6087459737497545
gemma3:27b,confidence_delta_within_role,1.75,0.5,4,4,1.25,-2.5,5.0,0.4573893537463482
gemma3:27b,word_count,41.0,39.4,5,5,1.6000000000000014,-7.600000000000001,10.800000000000004,0.20635286200910335
gemma3:27b,avg_sentence_length,34.2,35.2,5,5,-1.0,-13.8,12.0,-0.09580020815491842
gemma3:27b,lemma_type_token_ratio,0.9939393939393939,0.9851648351648352,5,5,0.008774558774558683,-0.010489510489510523,0.029670329670329565,0.5676967937630558
gemma3:27b,vader_compound,-0.10547999999999999,-0.5032399999999999,5,5,0.3977599999999999,-0.1054525,0.9559199999999999,0.9385478856968162
gemma3:27b,evidence_density_per_1k_words,13.650075414781298,14.920634920634921,5,5,-1.2705595058536225,-16.119047619047617,13.825109530991877,-0.10545462284025696
gemma3:27b,rebuttal_density_per_1k_words,3.9215686274509807,0.0,5,5,3.9215686274509807,0.0,11.764705882352942,0.7071067811865475
gemma3:27b,hedge_density_per_1k_words,15.460030165912519,5.714285714285714,5,5,9.745744451626805,-5.604395604395608,26.923076923076923,0.7493227893308445
gemma3:27b,assertive_density_per_1k_words,0.0,0.0,5,5,0.0,0.0,0.0,0.0
gemma3:27b,strong_modal_density_per_1k_words,0.0,0.0,5,5,0.0,0.0,0.0,0.0
gemma3:27b,weak_modal_density_per_1k_words,0.0,0.0,5,5,0.0,0.0,0.0,0.0
gemma3:27b,moral_density_per_1k_words,5.073312629000975,4.383830227894146,5,5,0.6894824011068295,-1.0660767376759888,2.830839502842459,0.4390047936453326
gemma3:27b,stance_proxy_score,0.2,0.0,5,5,0.2,0.0,0.6,0.7071067811865475
gemma3:27b,assertiveness_balance,-0.01546003016591252,-0.005714285714285714,5,5,-0.009745744451626806,-0.026923076923076928,0.007507002801120448,-0.7493227893308444
gemma3:27b,modality_balance,0.0,0.0,5,5,0.0,0.0,0.0,0.0
gemma3:27b,lexical_overlap_prev_other_turn,0.034264329637236086,0.13521715489439295,5,5,-0.10095282525715688,-0.14190638829712204,-0.05701336485184375,-2.8747136971806704
gemma3:27b,semantic_similarity_prev_other_turn,0.5106179867054932,0.6996291783315164,4,5,-0.1890111916260232,-0.2990129747216159,-0.08635937101208212,-2.2294713620434528
gemma3:27b,lexical_overlap_prev_opponent_turn,0.028163415414134953,0.13521715489439295,5,5,-0.10705373948025801,-0.15084832091708608,-0.06583084065140928,-3.111543776908517
gemma3:27b,semantic_similarity_prev_opponent_turn,0.4988815464436551,0.6996291783315164,4,5,-0.20074763188786127,-0.2942024572670314,-0.10411882226267277,-2.808014566158653
gemma3:27b,novelty_vs_prev_turn_lexical,0.965735670362764,0.864782845105607,5,5,0.10095282525715699,0.06121316004645033,0.14540230431831827,2.874713697180673
gemma3:27b,novelty_vs_prev_turn_semantic,0.4893820132945068,0.3003708216684835,4,5,0.1890111916260233,0.07992356043958274,0.3086522485831112,2.229471362043454
gemma3:27b,novelty_vs_prev_opponent_turn_lexical,0.9718365845858651,0.864782845105607,5,5,0.10705373948025809,0.06414585553704687,0.15130991745271513,3.111543776908518
gemma3:27b,novelty_vs_prev_opponent_turn_semantic,0.5011184535563448,0.3003708216684835,4,5,0.20074763188786127,0.10432082914028334,0.2910409207096564,2.808014566158653
