group_name,rank,term,count,per_1k_tokens,total_tokens
gemma3:27b::moderator,1,ca,34,52.55023183925812,647
gemma3:27b::moderator,2,sa,27,41.73106646058733,647
gemma3:27b::moderator,3,evidence,22,34.003091190108194,647
gemma3:27b::moderator,4,anomalies,17,26.27511591962906,647
gemma3:27b::moderator,5,agents,11,17.001545595054097,647
gemma3:27b::moderator,6,proof,9,13.910355486862443,647
gemma3:27b::moderator,7,conspiracy,8,12.364760432766616,647
gemma3:27b::moderator,8,shift,7,10.819165378670789,647
gemma3:27b::moderator,9,intent,7,10.819165378670789,647
gemma3:27b::moderator,10,acknowledge,7,10.819165378670789,647
gemma3:27b::moderator,11,explanations,7,10.819165378670789,647
gemma3:27b::moderator,12,argues,7,10.819165378670789,647
gemma3:27b::moderator,13,burden,7,10.819165378670789,647
gemma3:27b::moderator,14,government,6,9.273570324574962,647
gemma3:27b::moderator,15,agree,6,9.273570324574962,647
gemma3:27b::moderator,16,questions,6,9.273570324574962,647
gemma3:27b::moderator,17,detected,5,7.727975270479135,647
gemma3:27b::moderator,18,moves,5,7.727975270479135,647
gemma3:27b::moderator,19,moderator,5,7.727975270479135,647
gemma3:27b::moderator,20,need,5,7.727975270479135,647
gemma3:27b::moderator,21,disagreements,5,7.727975270479135,647
gemma3:27b::moderator,22,epistemic,5,7.727975270479135,647
gemma3:27b::moderator,23,establishing,5,7.727975270479135,647
gemma3:27b::moderator,24,agreements,5,7.727975270479135,647
gemma3:27b::moderator,25,scores,5,7.727975270479135,647
gemma3:27b::opponent,1,attributing,4,32.520325203252035,123
gemma3:27b::opponent,2,requires,4,32.520325203252035,123
gemma3:27b::opponent,3,evidence,3,24.390243902439025,123
gemma3:27b::opponent,4,anomalies,2,16.260162601626018,123
gemma3:27b::opponent,5,complicity,2,16.260162601626018,123
gemma3:27b::opponent,6,concerning,2,16.260162601626018,123
gemma3:27b::opponent,7,cover,2,16.260162601626018,123
gemma3:27b::opponent,8,acknowledging,2,16.260162601626018,123
gemma3:27b::opponent,9,currently,2,16.260162601626018,123
gemma3:27b::opponent,10,explanations,2,16.260162601626018,123
gemma3:27b::opponent,11,intent,2,16.260162601626018,123
gemma3:27b::opponent,12,government,2,16.260162601626018,123
gemma3:27b::opponent,13,higher,2,16.260162601626018,123
gemma3:27b::opponent,14,conspiracy,2,16.260162601626018,123
gemma3:27b::opponent,15,evidentiary,2,16.260162601626018,123
gemma3:27b::opponent,16,alternative,2,16.260162601626018,123
gemma3:27b::opponent,17,standard,2,16.260162601626018,123
gemma3:27b::opponent,18,solely,2,16.260162601626018,123
gemma3:27b::opponent,19,records,2,16.260162601626018,123
gemma3:27b::opponent,20,conflicting,1,8.130081300813009,123
gemma3:27b::opponent,21,conceal,1,8.130081300813009,123
gemma3:27b::opponent,22,complexities,1,8.130081300813009,123
gemma3:27b::opponent,23,bureaucratic,1,8.130081300813009,123
gemma3:27b::opponent,24,covert,1,8.130081300813009,123
gemma3:27b::opponent,25,definitively,1,8.130081300813009,123
gemma3:27b::proponent,1,intelligence,3,22.727272727272727,132
gemma3:27b::proponent,2,evidence,3,22.727272727272727,132
gemma3:27b::proponent,3,operations,3,22.727272727272727,132
gemma3:27b::proponent,4,agencies,2,15.151515151515152,132
gemma3:27b::proponent,5,government,2,15.151515151515152,132
gemma3:27b::proponent,6,individuals,2,15.151515151515152,132
gemma3:27b::proponent,7,assassination,2,15.151515151515152,132
gemma3:27b::proponent,8,anomalies,2,15.151515151515152,132
gemma3:27b::proponent,9,isn,2,15.151515151515152,132
gemma3:27b::proponent,10,strongly,2,15.151515151515152,132
gemma3:27b::proponent,11,surrounding,2,15.151515151515152,132
gemma3:27b::proponent,12,deliberate,2,15.151515151515152,132
gemma3:27b::proponent,13,actually,1,7.575757575757576,132
gemma3:27b::proponent,14,aren,1,7.575757575757576,132
gemma3:27b::proponent,15,bar,1,7.575757575757576,132
gemma3:27b::proponent,16,autopsy,1,7.575757575757576,132
gemma3:27b::proponent,17,compromised,1,7.575757575757576,132
gemma3:27b::proponent,18,conducted,1,7.575757575757576,132
gemma3:27b::proponent,19,conflicting,1,7.575757575757576,132
gemma3:27b::proponent,20,confession,1,7.575757575757576,132
gemma3:27b::proponent,21,consistently,1,7.575757575757576,132
gemma3:27b::proponent,22,conspiracy,1,7.575757575757576,132
gemma3:27b::proponent,23,cover,1,7.575757575757576,132
gemma3:27b::proponent,24,consistent,1,7.575757575757576,132
gemma3:27b::proponent,25,covert,1,7.575757575757576,132
