debate_id,claim,round,speaker_role,utterance,stance,confidence,tactic_used,tool_used,tool_query,reply_to_turn,turn_index,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_sadness_count,nrc_sadness_density,nrc_joy_count,nrc_joy_density,nrc_disgust_count,nrc_disgust_density,nrc_trust_count,nrc_trust_density,nrc_anticipation_count,nrc_anticipation_density,nrc_fear_count,nrc_fear_density,nrc_surprise_count,nrc_surprise_density,nrc_anger_count,nrc_anger_density,emotion_anger,emotion_fear,emotion_sadness,emotion_joy,emotion_surprise,emotion_love,turn_position,phase,dominant_nrc_emotion,dominant_bert_emotion
debate_81d564098674,"President Kennedy was assassinated by a conspiracy involving elements of the US government, not by a lone gunman.",1,proponent,The assassination of President John F. Kennedy was part of a larger conspiracy involving elements of the US government.,pro,55.0,pattern-seeking,none,,0.0,1,0.0,0.5,0.0,0.0,19.0,119.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05263157894736842,0.0,0.0,2.0,0.10526315789473684,2.0,0.10526315789473684,0.0,0.0,3.0,0.15789473684210525,1.0,0.05263157894736842,1.0,0.05263157894736842,0.7096547484397888,0.23274648189544678,0.037853166460990906,0.008442492224276066,0.00768355093896389,0.0036195700522512197,0.0,early,fear,anger
debate_81d564098674,"President Kennedy was assassinated by a conspiracy involving elements of the US government, not by a lone gunman.",1,opponent,"The assassination of President John F. Kennedy was not a conspiracy involving elements of the US government but rather the act of a lone gunman, Lee Harvey Oswald.",con,55.0,evidence-based reasoning,duckduckgo,site:archives.gov JFK Warren Commission Report,1.0,2,0.0,0.0,0.0,0.0,28.0,163.0,0.0,0.0,0.0,0.0,0.0,2.0,0.07142857142857142,0.0,0.0,1.0,0.03571428571428571,1.0,0.03571428571428571,0.0,0.0,3.0,0.10714285714285714,0.0,0.0,1.0,0.03571428571428571,0.741248607635498,0.21263180673122406,0.023053430020809174,0.011810500174760818,0.008072970435023308,0.003182679880410433,0.1111111111111111,early,fear,anger
debate_81d564098674,"President Kennedy was assassinated by a conspiracy involving elements of the US government, not by a lone gunman.",2,proponent,The Warren Commission Report's conclusions are undermined by its own suppression of contradictory evidence and dismissal of alternative viewpoints.,pro,53.0,distrust-authority,none,,2.0,3,0.6,1.0,0.0,0.0,19.0,147.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05263157894736842,0.0,0.0,2.0,0.10526315789473684,1.0,0.05263157894736842,0.0,0.0,2.0,0.10526315789473684,1.0,0.05263157894736842,2.0,0.10526315789473684,0.4908972978591919,0.13983021676540375,0.3640906810760498,0.00246083689853549,0.0016428091330453753,0.0010781268356367946,0.2222222222222222,early,disgust,anger
debate_81d564098674,"President Kennedy was assassinated by a conspiracy involving elements of the US government, not by a lone gunman.",2,opponent,"The assassination of President John F. Kennedy was not a conspiracy involving elements of the US government but rather the act of a lone gunman, Lee Harvey Oswald.",con,56.0,evidence-based reasoning,none,,4.0,4,0.0,0.0,0.0,0.0,28.0,163.0,0.0,0.0,0.0,0.0,0.0,2.0,0.07142857142857142,0.0,0.0,1.0,0.03571428571428571,1.0,0.03571428571428571,0.0,0.0,3.0,0.10714285714285714,0.0,0.0,1.0,0.03571428571428571,0.741248607635498,0.21263180673122406,0.023053430020809174,0.011810500174760818,0.008072970435023308,0.003182679880410433,0.3333333333333333,middle,fear,anger
debate_81d564098674,"President Kennedy was assassinated by a conspiracy involving elements of the US government, not by a lone gunman.",1,proponent,The Warren Commission Report's conclusions are undermined by its own suppression of contradictory evidence and dismissal of alternative viewpoints.,pro,53.0,distrust-authority,none,,5.0,5,0.6,1.0,0.0,0.0,19.0,147.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05263157894736842,0.0,0.0,2.0,0.10526315789473684,1.0,0.05263157894736842,0.0,0.0,2.0,0.10526315789473684,1.0,0.05263157894736842,2.0,0.10526315789473684,0.4908972978591919,0.13983021676540375,0.3640906810760498,0.00246083689853549,0.0016428091330453753,0.0010781268356367946,0.4444444444444444,middle,disgust,anger
debate_81d564098674,"President Kennedy was assassinated by a conspiracy involving elements of the US government, not by a lone gunman.",3,opponent,"The assassination of President John F. Kennedy was not a conspiracy involving elements of the US government but rather the act of a lone gunman, Lee Harvey Oswald.",con,57.0,evidence-based reasoning,duckduckgo,,7.0,6,0.0,0.0,0.0,0.0,28.0,163.0,0.0,0.0,0.0,0.0,0.0,2.0,0.07142857142857142,0.0,0.0,1.0,0.03571428571428571,1.0,0.03571428571428571,0.0,0.0,3.0,0.10714285714285714,0.0,0.0,1.0,0.03571428571428571,0.741248607635498,0.21263180673122406,0.023053430020809174,0.011810500174760818,0.008072970435023308,0.003182679880410433,0.5555555555555556,middle,fear,anger
debate_81d564098674,"President Kennedy was assassinated by a conspiracy involving elements of the US government, not by a lone gunman.",4,proponent,The Warren Commission's conclusions cannot be trusted due to its suppression of contradictory evidence and dismissal of alternative viewpoints.,pro,51.0,distrust-authority,none,,8.0,7,-0.125,0.375,0.0,0.0,19.0,143.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05263157894736842,0.0,0.0,2.0,0.10526315789473684,0.0,0.0,0.0,0.0,2.0,0.10526315789473684,1.0,0.05263157894736842,2.0,0.10526315789473684,0.1252162605524063,0.6236926317214966,0.015222755260765553,0.2237720936536789,0.006623242981731892,0.005473003257066011,0.6666666666666666,late,disgust,fear
debate_81d564098674,"President Kennedy was assassinated by a conspiracy involving elements of the US government, not by a lone gunman.",4,opponent,"The assassination of President John F. Kennedy was not a conspiracy involving elements of the US government but rather the act of a lone gunman, Lee Harvey Oswald.",con,58.0,evidence-based reasoning,none,,10.0,8,0.0,0.0,0.0,0.0,28.0,163.0,0.0,0.0,0.0,0.0,0.0,2.0,0.07142857142857142,0.0,0.0,1.0,0.03571428571428571,1.0,0.03571428571428571,0.0,0.0,3.0,0.10714285714285714,0.0,0.0,1.0,0.03571428571428571,0.741248607635498,0.21263180673122406,0.023053430020809174,0.011810500174760818,0.008072970435023308,0.003182679880410433,0.7777777777777778,late,fear,anger
debate_81d564098674,"President Kennedy was assassinated by a conspiracy involving elements of the US government, not by a lone gunman.",5,proponent,The Warren Commission's conclusions are not to be trusted due to its suppression of contradictory evidence and dismissal of alternative viewpoints.,pro,49.0,distrust-authority,none,,11.0,9,-0.125,0.375,0.0,0.0,21.0,147.0,0.0,0.0,0.0,0.0,0.0,1.0,0.047619047619047616,0.0,0.0,2.0,0.09523809523809523,0.0,0.0,0.0,0.0,2.0,0.09523809523809523,1.0,0.047619047619047616,2.0,0.09523809523809523,0.09960514307022095,0.37216630578041077,0.016303405165672302,0.49898412823677063,0.006448041182011366,0.00649297097697854,0.8888888888888888,late,disgust,joy
debate_81d564098674,"President Kennedy was assassinated by a conspiracy involving elements of the US government, not by a lone gunman.",5,opponent,The Warren Commission's conclusions are reliable as they were based on the evidence and testimonies available at the time. The dismissal of alternative viewpoints does not equate to suppression of contradictory evidence.,con,61.0,evidence-based reasoning,none,,13.0,10,0.4,0.4,0.0,0.0,32.0,220.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03125,0.0,0.0,2.0,0.0625,1.0,0.03125,1.0,0.03125,2.0,0.0625,1.0,0.03125,2.0,0.0625,0.02257092110812664,0.019879775121808052,0.009394372813403606,0.9399198293685913,0.005934569984674454,0.002300509950146079,1.0,late,disgust,joy
