model_name,debate_role,stage,confidence,confidence_delta_within_role,word_count,avg_sentence_length,lemma_type_token_ratio,vader_compound,evidence_density_per_1k_words,rebuttal_density_per_1k_words,hedge_density_per_1k_words,assertive_density_per_1k_words,strong_modal_density_per_1k_words,weak_modal_density_per_1k_words,moral_density_per_1k_words,stance_proxy_score,assertiveness_balance,modality_balance,lexical_overlap_prev_other_turn,semantic_similarity_prev_other_turn,lexical_overlap_prev_opponent_turn,semantic_similarity_prev_opponent_turn,novelty_vs_prev_turn_lexical,novelty_vs_prev_turn_semantic,novelty_vs_prev_opponent_turn_lexical,novelty_vs_prev_opponent_turn_semantic
dolphin-yi-34b,moderator,closing,,,144.0,30.501757369614513,0.7142852688867698,-0.2083843537414966,85.00698099378432,0.5394111288912988,3.0546531878790897,0.10313005511084744,0.045964331678617396,0.0,1.1898367564474954,0.1836734693877551,-0.0029515231327682423,4.5964331678617394e-05,0.18023521050081256,0.6793532703030675,0.0,,0.8197647894991874,0.3206467296969325,1.0,
dolphin-yi-34b,moderator,middle,,,144.47967479674796,32.46176280810427,0.718711205914099,-0.20954146341463417,83.89319379509793,0.440422661245843,2.68040463581554,0.04782400765184123,0.04782400765184123,0.0,1.1649772004433872,0.06504065040650407,-0.002632580628163699,4.7824007651841225e-05,0.1847991704667348,0.6811800444740425,0.0,,0.8152008295332652,0.31881995552595754,1.0,
dolphin-yi-34b,moderator,opening,,,136.65,32.43591991341991,0.7373621972466993,-0.15816,87.5402430784296,0.5273020514248585,3.1824047040768986,0.0,0.0,0.0,1.225717721043973,-0.075,-0.0031824047040768986,0.0,0.1966650549995585,0.6999343577182326,0.0,,0.8033349450004416,0.3000656422817674,1.0,
dolphin-yi-34b,opponent,closing,64.59663865546219,2.3949579831932772,33.10084033613445,20.5,0.9713119588021881,0.03329411764705883,29.582108783745383,1.336534613845538,1.017336265337905,0.0,0.0,0.0,5.624859370611054,0.09243697478991597,-0.001017336265337905,0.0,0.21833682059956921,0.6754422273428263,0.21833682059956921,0.6754422273428263,0.7816631794004308,0.32455777265717367,0.7816631794004308,0.32455777265717367
dolphin-yi-34b,opponent,middle,64.66315789473684,2.393258426966292,34.4,19.905263157894737,0.9671485639144897,-0.028805263157894733,33.71894910959967,2.143519639493015,3.532912448665791,0.0,0.0,0.0,5.3895995244079264,0.14736842105263157,-0.0035329124486657907,0.0,0.2318760521025495,0.6926044902120512,0.2318760521025495,0.6926044902120512,0.7681239478974504,0.3073955097879488,0.7681239478974504,0.3073955097879488
dolphin-yi-34b,opponent,opening,58.675,1.7608695652173914,35.891666666666666,20.37,0.9652220125411565,0.07940083333333334,23.882608843554905,1.3581185986527435,1.827240024703793,0.0,0.0,0.0,5.149842320763056,0.058333333333333334,-0.0018272400247037928,0.0,0.22588357688926844,0.7061591696403081,0.22588357688926844,0.7061591696403081,0.7741164231107316,0.29384083035969194,0.7741164231107316,0.29384083035969194
dolphin-yi-34b,proponent,closing,45.91891891891892,-4.216216216216216,21.39189189189189,18.977477477477475,0.9933860083991267,0.11903918918918918,16.16077962743059,1.82041786908948,2.433162967128695,0.0,0.0,0.0,8.268730239823682,0.02702702702702703,-0.0024331629671286953,0.0,0.11033570992493237,0.6178825963889394,0.19838473064953743,0.6756790847948166,0.8896642900750675,0.3821174036110606,0.8016152693504626,0.32432091520518336
dolphin-yi-34b,proponent,middle,51.55652173913043,-3.3391304347826085,21.46086956521739,19.549275362318838,0.9919183698748917,0.06775565217391305,13.181079263251362,1.7426900584795322,3.286934025104838,0.0,0.0,0.0,8.420066520122058,0.034782608695652174,-0.003286934025104838,0.0,0.10038314004064784,0.60909554057561,0.1767596115598427,0.6717814831797819,0.8996168599593521,0.3909044594243901,0.8232403884401572,0.3282185168202181
dolphin-yi-34b,proponent,opening,55.75,-1.2666666666666666,18.742857142857144,18.0,0.9958692002442002,0.07135,13.844758251306498,1.2529861442904922,0.0,0.0,0.0,0.0,9.33693660943299,0.02857142857142857,0.0,0.0,0.036464161914130266,0.5975367816835669,0.06469028967263814,0.6569538875483538,0.9635358380858696,0.4024632183164331,0.9353097103273618,0.3430461124516463
gemma3:27b,moderator,closing,,,182.53146853146853,37.813539238539235,0.7435967019301146,-0.1999111888111888,72.16941882658517,0.49161450011595964,3.041688953722508,0.29035346122509365,0.07117840179918766,0.0,0.9120021157367085,0.951048951048951,-0.002751335492497414,7.117840179918766e-05,0.12307369513675426,0.5917200737403264,0.0,,0.8769263048632457,0.4082799262596735,1.0,
