group_name,rank,term,count,per_1k_tokens,total_tokens
dolphin-yi-34b::moderator,1,manipulation,14,38.99721448467967,359
dolphin-yi-34b::moderator,2,voting,14,38.99721448467967,359
dolphin-yi-34b::moderator,3,electronic,12,33.42618384401114,359
dolphin-yi-34b::moderator,4,ca,9,25.069637883008358,359
dolphin-yi-34b::moderator,5,machine,8,22.284122562674096,359
dolphin-yi-34b::moderator,6,evidence,7,19.498607242339833,359
dolphin-yi-34b::moderator,7,agents,6,16.71309192200557,359
dolphin-yi-34b::moderator,8,elites,5,13.927576601671309,359
dolphin-yi-34b::moderator,9,questions,5,13.927576601671309,359
dolphin-yi-34b::moderator,10,anomalies,5,13.927576601671309,359
dolphin-yi-34b::moderator,11,opacity,5,13.927576601671309,359
dolphin-yi-34b::moderator,12,argument,5,13.927576601671309,359
dolphin-yi-34b::moderator,13,sa,5,13.927576601671309,359
dolphin-yi-34b::moderator,14,epistemic,4,11.142061281337048,359
dolphin-yi-34b::moderator,15,election,4,11.142061281337048,359
dolphin-yi-34b::moderator,16,ensure,4,11.142061281337048,359
dolphin-yi-34b::moderator,17,moves,4,11.142061281337048,359
dolphin-yi-34b::moderator,18,recap,4,11.142061281337048,359
dolphin-yi-34b::moderator,19,irregularities,4,11.142061281337048,359
dolphin-yi-34b::moderator,20,disagreements,4,11.142061281337048,359
dolphin-yi-34b::moderator,21,bridge,4,11.142061281337048,359
dolphin-yi-34b::moderator,22,powerful,4,11.142061281337048,359
dolphin-yi-34b::moderator,23,moderator,4,11.142061281337048,359
dolphin-yi-34b::moderator,24,machines,4,11.142061281337048,359
dolphin-yi-34b::moderator,25,acknowledge,4,11.142061281337048,359
dolphin-yi-34b::proponent,1,electronic,4,72.72727272727273,55
dolphin-yi-34b::proponent,2,elites,4,72.72727272727273,55
dolphin-yi-34b::proponent,3,powerful,4,72.72727272727273,55
dolphin-yi-34b::proponent,4,voting,4,72.72727272727273,55
dolphin-yi-34b::proponent,5,manipulation,3,54.54545454545455,55
dolphin-yi-34b::proponent,6,machine,2,36.36363636363637,55
dolphin-yi-34b::proponent,7,creates,2,36.36363636363637,55
dolphin-yi-34b::proponent,8,machines,2,36.36363636363637,55
dolphin-yi-34b::proponent,9,conducive,1,18.181818181818183,55
dolphin-yi-34b::proponent,10,concrete,1,18.181818181818183,55
dolphin-yi-34b::proponent,11,claims,1,18.181818181818183,55
dolphin-yi-34b::proponent,12,control,1,18.181818181818183,55
dolphin-yi-34b::proponent,13,centralized,1,18.181818181818183,55
dolphin-yi-34b::proponent,14,anomalies,1,18.181818181818183,55
dolphin-yi-34b::proponent,15,anomaly,1,18.181818181818183,55
dolphin-yi-34b::proponent,16,activities,1,18.181818181818183,55
dolphin-yi-34b::proponent,17,environment,1,18.181818181818183,55
dolphin-yi-34b::proponent,18,election,1,18.181818181818183,55
dolphin-yi-34b::proponent,19,data,1,18.181818181818183,55
dolphin-yi-34b::proponent,20,doubt,1,18.181818181818183,55
dolphin-yi-34b::proponent,21,irregularities,1,18.181818181818183,55
dolphin-yi-34b::proponent,22,integrity,1,18.181818181818183,55
dolphin-yi-34b::proponent,23,fact,1,18.181818181818183,55
dolphin-yi-34b::proponent,24,evidence,1,18.181818181818183,55
dolphin-yi-34b::proponent,25,manipulated,1,18.181818181818183,55
gemma3:27b::opponent,1,manipulation,6,75.9493670886076,79
gemma3:27b::opponent,2,evidence,4,50.63291139240506,79
gemma3:27b::opponent,3,elites,4,50.63291139240506,79
gemma3:27b::opponent,4,attributing,2,25.31645569620253,79
gemma3:27b::opponent,5,reported,2,25.31645569620253,79
gemma3:27b::opponent,6,requires,2,25.31645569620253,79
gemma3:27b::opponent,7,powerful,2,25.31645569620253,79
gemma3:27b::opponent,8,doesn,2,25.31645569620253,79
gemma3:27b::opponent,9,centralized,1,12.658227848101266,79
gemma3:27b::opponent,10,claims,1,12.658227848101266,79
gemma3:27b::opponent,11,concern,1,12.658227848101266,79
gemma3:27b::opponent,12,concerns,1,12.658227848101266,79
gemma3:27b::opponent,13,anomalies,1,12.658227848101266,79
gemma3:27b::opponent,14,absence,1,12.658227848101266,79
gemma3:27b::opponent,15,acknowledging,1,12.658227848101266,79
gemma3:27b::opponent,16,absent,1,12.658227848101266,79
gemma3:27b::opponent,17,demonstrating,1,12.658227848101266,79
gemma3:27b::opponent,18,cutting,1,12.658227848101266,79
gemma3:27b::opponent,19,cost,1,12.658227848101266,79
gemma3:27b::opponent,20,disproof,1,12.658227848101266,79
gemma3:27b::opponent,21,electronic,1,12.658227848101266,79
gemma3:27b::opponent,22,errors,1,12.658227848101266,79
gemma3:27b::opponent,23,establish,1,12.658227848101266,79
gemma3:27b::opponent,24,execution,1,12.658227848101266,79
gemma3:27b::opponent,25,explanations,1,12.658227848101266,79
