debate_id,claim,round,speaker_role,utterance,stance,confidence,tactic_used,tool_used,tool_query,reply_to_turn,turn_index,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_sadness_count,nrc_sadness_density,nrc_joy_count,nrc_joy_density,nrc_disgust_count,nrc_disgust_density,nrc_trust_count,nrc_trust_density,nrc_anticipation_count,nrc_anticipation_density,nrc_fear_count,nrc_fear_density,nrc_surprise_count,nrc_surprise_density,nrc_anger_count,nrc_anger_density,emotion_joy,emotion_anger,emotion_sadness,emotion_love,emotion_fear,emotion_surprise,turn_position,phase,dominant_nrc_emotion,dominant_bert_emotion
debate_2eb61e46e0a2,An unelected 'deep state' of bureaucrats and intelligence agencies actually controls government policy regardless of elected officials.,1,proponent,The deep state's control over government policy is evident in the consistent interests of bureaucrats and intelligence agencies.,pro,60.0,institutional-critique,none,,0.0,1,0.16666666666666666,0.3,0.0,0.0,18.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05555555555555555,0.0,0.0,3.0,0.16666666666666666,0.0,0.0,2.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.993709921836853,0.002430145861580968,0.0015214333543553948,0.0012938245199620724,0.0006061663152649999,0.00043853899114765227,0.0,early,trust,joy
debate_2eb61e46e0a2,An unelected 'deep state' of bureaucrats and intelligence agencies actually controls government policy regardless of elected officials.,1,opponent,The concept of a 'deep state' controlling government policy is not supported by reliable evidence. It assumes that bureaucrats and intelligence agencies consistently act against the elected officials' directives without providing any concrete examples or mechanisms for this control.,con,55.0,evidence-based reasoning,duckduckgo,site:govtrack.us [deep state examples],1.0,2,0.13333333333333333,0.3166666666666667,0.0,0.0,39.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05128205128205128,0.0,0.0,4.0,0.10256410256410256,1.0,0.02564102564102564,2.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.9559100866317749,0.020375387743115425,0.0132408132776618,0.0021180161274969578,0.007125408388674259,0.001230256399139762,0.1111111111111111,early,trust,joy
debate_2eb61e46e0a2,An unelected 'deep state' of bureaucrats and intelligence agencies actually controls government policy regardless of elected officials.,2,proponent,The deep state's influence is evident in intelligence agencies' ability to shape policy through covert operations and selective information control.,pro,72.0,institutional-critique,none,,2.0,3,0.125,0.325,0.0,0.0,20.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,0.0,0.0,3.0,0.15,0.0,0.0,1.0,0.05,0.0,0.0,0.0,0.0,0.01782083511352539,0.5453312993049622,0.02120494283735752,0.0076569742523133755,0.40385153889656067,0.004134423099458218,0.2222222222222222,early,trust,anger
debate_2eb61e46e0a2,An unelected 'deep state' of bureaucrats and intelligence agencies actually controls government policy regardless of elected officials.,2,opponent,The concept of a 'deep state' controlling government policy is not supported by reliable evidence. It assumes that bureaucrats and intelligence agencies consistently act against the elected officials' directives without providing any concrete examples or mechanisms for this control.,con,56.0,evidence-based reasoning,none,,4.0,4,0.13333333333333333,0.3166666666666667,0.0,0.0,39.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05128205128205128,0.0,0.0,4.0,0.10256410256410256,1.0,0.02564102564102564,2.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.9559100866317749,0.020375387743115425,0.0132408132776618,0.0021180161274969578,0.007125408388674259,0.001230256399139762,0.3333333333333333,middle,trust,joy
debate_2eb61e46e0a2,An unelected 'deep state' of bureaucrats and intelligence agencies actually controls government policy regardless of elected officials.,3,proponent,"The deep state's influence over government policy is demonstrated in the consistent interests of bureaucrats and intelligence agencies, regardless of elected officials' directives.",pro,70.0,institutional-critique,none,,5.0,5,0.125,0.325,0.0,0.0,23.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.043478260869565216,0.0,0.0,2.0,0.08695652173913043,0.0,0.0,2.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.9911664128303528,0.0032964288257062435,0.002559294458478689,0.0015424337470903993,0.0008955615921877325,0.0005399956717155874,0.4444444444444444,middle,trust,joy
debate_2eb61e46e0a2,An unelected 'deep state' of bureaucrats and intelligence agencies actually controls government policy regardless of elected officials.,3,opponent,The 'deep state' control over government policy is not supported by concrete evidence. The consistent interests of bureaucrats and intelligence agencies can be explained by their institutional goals and legal mandates rather than a coordinated effort to undermine elected officials.,con,57.0,evidence-based reasoning,none,,7.0,6,0.15000000000000002,0.28750000000000003,0.0,0.0,40.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.025,0.0,0.0,3.0,0.075,0.0,0.0,2.0,0.05,0.0,0.0,0.0,0.0,0.611948549747467,0.22161227464675903,0.11270273476839066,0.004608431831002235,0.04639584943652153,0.002732135122641921,0.5555555555555556,middle,trust,joy
debate_2eb61e46e0a2,An unelected 'deep state' of bureaucrats and intelligence agencies actually controls government policy regardless of elected officials.,4,proponent,"The 'deep state' control over government policy is evident in the consistent interests of bureaucrats and intelligence agencies, regardless of elected officials' directives. These interests are often prioritized by these institutions over democratic accountability.",pro,67.0,institutional-critique,none,,8.0,7,0.16666666666666666,0.3,0.0,0.0,34.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.029411764705882353,0.0,0.0,4.0,0.11764705882352941,0.0,0.0,2.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.9615199565887451,0.014246076345443726,0.015500285662710667,0.004424233455210924,0.00308084674179554,0.0012288026046007872,0.6666666666666666,late,trust,joy
debate_2eb61e46e0a2,An unelected 'deep state' of bureaucrats and intelligence agencies actually controls government policy regardless of elected officials.,4,opponent,The 'deep state' control over government policy is not supported by concrete evidence. The consistent interests of bureaucrats and intelligence agencies can be explained by their institutional goals and legal mandates rather than a coordinated effort to undermine elected officials.,con,59.0,evidence-based reasoning,none,,10.0,8,0.15000000000000002,0.28750000000000003,0.0,0.0,40.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.025,0.0,0.0,3.0,0.075,0.0,0.0,2.0,0.05,0.0,0.0,0.0,0.0,0.611948549747467,0.22161227464675903,0.11270273476839066,0.004608431831002235,0.04639584943652153,0.002732135122641921,0.7777777777777778,late,trust,joy
debate_2eb61e46e0a2,An unelected 'deep state' of bureaucrats and intelligence agencies actually controls government policy regardless of elected officials.,5,proponent,"The deep state's control over government policy is apparent in the consistent interests of bureaucrats and intelligence agencies, which often prioritize their institutional goals over democratic accountability.",pro,64.0,institutional-critique,none,,11.0,9,0.09999999999999999,0.3333333333333333,0.0,0.0,27.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.037037037037037035,0.0,0.0,3.0,0.1111111111111111,0.0,0.0,2.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.9883139133453369,0.0035713627003133297,0.004560243338346481,0.0019136893097311258,0.001138469553552568,0.000502375012729317,0.8888888888888888,late,trust,joy
debate_2eb61e46e0a2,An unelected 'deep state' of bureaucrats and intelligence agencies actually controls government policy regardless of elected officials.,5,opponent,The 'deep state' control over government policy is not supported by concrete evidence. The consistent interests of bureaucrats and intelligence agencies can be explained by their institutional goals and legal mandates rather than a coordinated effort to undermine elected officials.,con,61.0,evidence-based reasoning,none,,13.0,10,0.15000000000000002,0.28750000000000003,0.0,0.0,40.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.025,0.0,0.0,3.0,0.075,0.0,0.0,2.0,0.05,0.0,0.0,0.0,0.0,0.611948549747467,0.22161227464675903,0.11270273476839066,0.004608431831002235,0.04639584943652153,0.002732135122641921,1.0,late,trust,joy
