group_name,rank,term,term_type,count
gemma3:27b::moderator,1,ca,unigram,31
gemma3:27b::moderator,2,sa,unigram,27
gemma3:27b::moderator,3,evidence,unigram,13
gemma3:27b::moderator,4,11,unigram,12
gemma3:27b::moderator,5,pre,unigram,11
gemma3:27b::moderator,6,proof,unigram,11
gemma3:27b::moderator,7,argues,unigram,9
gemma3:27b::moderator,8,acknowledge,unigram,7
gemma3:27b::moderator,9,agents,unigram,6
gemma3:27b::moderator,10,questions,unigram,6
gemma3:27b::moderator,11,security,unigram,6
gemma3:27b::moderator,12,round,unigram,5
gemma3:27b::moderator,13,scores civility,bigram,5
gemma3:27b::moderator,14,scores,unigram,5
gemma3:27b::moderator,15,scores civility epistemic,trigram,5
gemma3:27b::moderator,16,round recap,bigram,5
gemma3:27b::moderator,17,round recap agreements,trigram,5
gemma3:27b::moderator,18,recap,unigram,5
gemma3:27b::moderator,19,recap agreements agents,trigram,5
gemma3:27b::moderator,20,security concerns,bigram,5
gemma3:27b::moderator,21,recap agreements,bigram,5
gemma3:27b::moderator,22,proof shift,bigram,5
gemma3:27b::moderator,23,epistemic,unigram,5
gemma3:27b::moderator,24,moderator round,bigram,5
gemma3:27b::moderator,25,planning,unigram,5
gemma3:27b::opponent,1,attacks,unigram,5
gemma3:27b::opponent,2,11,unigram,4
gemma3:27b::opponent,3,attributing,unigram,3
gemma3:27b::opponent,4,solely,unigram,2
gemma3:27b::opponent,5,requires demonstrating,bigram,2
gemma3:27b::opponent,6,pre,unigram,2
gemma3:27b::opponent,7,lacks,unigram,2
gemma3:27b::opponent,8,requires,unigram,2
gemma3:27b::opponent,9,incentives,unigram,2
gemma3:27b::opponent,10,framing,unigram,2
gemma3:27b::opponent,11,government,unigram,2
gemma3:27b::opponent,12,evidence,unigram,2
gemma3:27b::opponent,13,exist,unigram,2
gemma3:27b::opponent,14,disclosure,unigram,2
gemma3:27b::opponent,15,disclosure solely,bigram,2
gemma3:27b::opponent,16,ignores,unigram,2
gemma3:27b::opponent,17,event,unigram,2
gemma3:27b::opponent,18,demonstrating,unigram,2
gemma3:27b::opponent,19,cover ignores,bigram,2
gemma3:27b::opponent,20,cover,unigram,2
gemma3:27b::opponent,21,transparency,unigram,2
gemma3:27b::opponent,22,strategic,unigram,2
gemma3:27b::opponent,23,systemic incentives exist,trigram,1
gemma3:27b::opponent,24,systemic incentives,bigram,1
gemma3:27b::opponent,25,systemic,unigram,1
gemma3:27b::proponent,1,11,unigram,4
gemma3:27b::proponent,2,military,unigram,4
gemma3:27b::proponent,3,particularly,unigram,3
gemma3:27b::proponent,4,narrative,unigram,3
gemma3:27b::proponent,5,official,unigram,3
gemma3:27b::proponent,6,security,unigram,2
gemma3:27b::proponent,7,pre,unigram,2
gemma3:27b::proponent,8,attack,unigram,2
gemma3:27b::proponent,9,official narrative,bigram,2
gemma3:27b::proponent,10,orchestration,unigram,2
gemma3:27b::proponent,11,national security,bigram,2
gemma3:27b::proponent,12,national,unigram,2
gemma3:27b::proponent,13,institutions,unigram,2
gemma3:27b::proponent,14,isn,unigram,2
gemma3:27b::proponent,15,insistence,unigram,2
gemma3:27b::proponent,16,documents,unigram,2
gemma3:27b::proponent,17,tactic employed,bigram,1
gemma3:27b::proponent,18,tactic,unigram,1
gemma3:27b::proponent,19,systemic incentives government,trigram,1
gemma3:27b::proponent,20,systemic incentives,bigram,1
gemma3:27b::proponent,21,systemic,unigram,1
gemma3:27b::proponent,22,surrounding 11 documents,trigram,1
gemma3:27b::proponent,23,surrounding 11,bigram,1
gemma3:27b::proponent,24,surrounding,unigram,1
gemma3:27b::proponent,25,suggesting deeper orchestration,trigram,1
