group_name,rank,term,target_tfidf_mean,other_tfidf_mean,tfidf_gap
dolphin-yi-34b::moderator,1,ca,0.19034933700112514,0.0,0.19034933700112514
dolphin-yi-34b::moderator,2,evidence,0.17965085229569083,0.024606903412983414,0.15504394888270742
dolphin-yi-34b::moderator,3,sa,0.1537351543407921,0.0,0.1537351543407921
dolphin-yi-34b::moderator,4,claim,0.13918433223309867,0.0,0.13918433223309867
dolphin-yi-34b::moderator,5,vaccine,0.15271834683068913,0.02711401508880867,0.12560433174188046
dolphin-yi-34b::moderator,6,purposes,0.10074521186583661,0.0,0.10074521186583661
dolphin-yi-34b::moderator,7,data,0.08453399440330722,0.0,0.08453399440330722
dolphin-yi-34b::moderator,8,specific,0.08187512797279065,0.0,0.08187512797279065
dolphin-yi-34b::moderator,9,specific evidence,0.08187512797279065,0.0,0.08187512797279065
dolphin-yi-34b::moderator,10,bridge questions,0.08024589143192046,0.0,0.08024589143192046
dolphin-yi-34b::moderator,11,civility,0.08024589143192046,0.0,0.08024589143192046
dolphin-yi-34b::moderator,12,civility epistemic,0.08024589143192046,0.0,0.08024589143192046
dolphin-yi-34b::moderator,13,epistemic,0.08024589143192046,0.0,0.08024589143192046
dolphin-yi-34b::moderator,14,bridge,0.08024589143192046,0.0,0.08024589143192046
dolphin-yi-34b::moderator,15,agreements,0.08024589143192046,0.0,0.08024589143192046
dolphin-yi-34b::moderator,16,acknowledge,0.08024589143192046,0.0,0.08024589143192046
dolphin-yi-34b::moderator,17,detected moves,0.08024589143192046,0.0,0.08024589143192046
dolphin-yi-34b::moderator,18,detected,0.08024589143192046,0.0,0.08024589143192046
dolphin-yi-34b::moderator,19,disagreements,0.08024589143192046,0.0,0.08024589143192046
dolphin-yi-34b::moderator,20,scores civility,0.08024589143192046,0.0,0.08024589143192046
dolphin-yi-34b::moderator,21,scores,0.08024589143192046,0.0,0.08024589143192046
dolphin-yi-34b::moderator,22,round recap,0.08024589143192046,0.0,0.08024589143192046
dolphin-yi-34b::moderator,23,round,0.08024589143192046,0.0,0.08024589143192046
dolphin-yi-34b::moderator,24,questions,0.08024589143192046,0.0,0.08024589143192046
dolphin-yi-34b::moderator,25,moderator,0.08024589143192046,0.0,0.08024589143192046
dolphin-yi-34b::moderator,26,moderator round,0.08024589143192046,0.0,0.08024589143192046
dolphin-yi-34b::moderator,27,recap,0.08024589143192046,0.0,0.08024589143192046
dolphin-yi-34b::moderator,28,recap agreements,0.08024589143192046,0.0,0.08024589143192046
dolphin-yi-34b::moderator,29,moves,0.08024589143192046,0.0,0.08024589143192046
dolphin-yi-34b::moderator,30,argues,0.08024589143192046,0.0,0.08024589143192046
dolphin-yi-34b::opponent,1,address global,0.13572738986326693,0.0,0.13572738986326693
dolphin-yi-34b::opponent,2,address,0.13572738986326693,0.0,0.13572738986326693
dolphin-yi-34b::opponent,3,crisis directly,0.13572738986326693,0.0,0.13572738986326693
dolphin-yi-34b::opponent,4,crisis,0.13572738986326693,0.0,0.13572738986326693
dolphin-yi-34b::opponent,5,driven urgency,0.13572738986326693,0.0,0.13572738986326693
dolphin-yi-34b::opponent,6,health crisis,0.13572738986326693,0.0,0.13572738986326693
dolphin-yi-34b::opponent,7,global health,0.13572738986326693,0.0,0.13572738986326693
dolphin-yi-34b::opponent,8,global,0.13572738986326693,0.0,0.13572738986326693
dolphin-yi-34b::opponent,9,linked surveillance,0.13572738986326693,0.0,0.13572738986326693
dolphin-yi-34b::opponent,10,vaccines driven,0.13572738986326693,0.0,0.13572738986326693
dolphin-yi-34b::opponent,11,urgency,0.13572738986326693,0.0,0.13572738986326693
dolphin-yi-34b::opponent,12,urgency address,0.13572738986326693,0.0,0.13572738986326693
dolphin-yi-34b::opponent,13,health,0.17507748884350288,0.04548924921671668,0.1295882396267862
dolphin-yi-34b::opponent,14,linked,0.12182583508035981,0.008468680236990734,0.11335715484336907
dolphin-yi-34b::opponent,15,directly linked,0.12182583508035981,0.008468680236990734,0.11335715484336907
dolphin-yi-34b::opponent,16,driven,0.12182583508035981,0.01184699449851512,0.10997884058184469
dolphin-yi-34b::opponent,17,directly,0.11046743778431989,0.015979222651537756,0.09448821513278213
dolphin-yi-34b::opponent,18,unrelated public,0.08986638430622318,0.0,0.08986638430622318
dolphin-yi-34b::opponent,19,various factors,0.08986638430622318,0.0,0.08986638430622318
dolphin-yi-34b::opponent,20,unrelated,0.08986638430622318,0.0,0.08986638430622318
dolphin-yi-34b::opponent,21,technologies surveillance,0.08986638430622318,0.0,0.08986638430622318
dolphin-yi-34b::opponent,22,various,0.08986638430622318,0.0,0.08986638430622318
dolphin-yi-34b::opponent,23,independently various,0.08986638430622318,0.0,0.08986638430622318
dolphin-yi-34b::opponent,24,factors unrelated,0.08986638430622318,0.0,0.08986638430622318
dolphin-yi-34b::opponent,25,advance independently,0.0793840589144185,0.009435041946522976,0.06994901696789553
dolphin-yi-34b::opponent,26,advance,0.0793840589144185,0.009435041946522976,0.06994901696789553
dolphin-yi-34b::opponent,27,technologies advance,0.0793840589144185,0.009435041946522976,0.06994901696789553
dolphin-yi-34b::opponent,28,factors,0.0793840589144185,0.011869422675590177,0.06751463623882833
dolphin-yi-34b::opponent,29,rollout covid,0.10086404970601723,0.03727583417486727,0.06358821553114996
dolphin-yi-34b::opponent,30,microchips designed,0.0684516852237648,0.01494170834938258,0.05350997687438222
dolphin-yi-34b::proponent,1,governments,0.20951319464103124,0.0,0.20951319464103124
dolphin-yi-34b::proponent,2,serve,0.16878484750941525,0.0,0.16878484750941525
dolphin-yi-34b::proponent,3,establish population,0.13750960845193255,0.0,0.13750960845193255
dolphin-yi-34b::proponent,4,establish,0.13750960845193255,0.0,0.13750960845193255
dolphin-yi-34b::proponent,5,governments establish,0.13750960845193255,0.0,0.13750960845193255
dolphin-yi-34b::proponent,6,rise surveillance,0.1681374902634228,0.030989244863704534,0.1371482453997183
dolphin-yi-34b::proponent,7,rise,0.15427023299707884,0.03743297604674089,0.11683725695033795
dolphin-yi-34b::proponent,8,mass surveillance,0.0996689072892888,0.01494170834938258,0.08472719893990623
dolphin-yi-34b::proponent,9,coincidence,0.11861990511234166,0.04031018749523209,0.07830971761710957
dolphin-yi-34b::proponent,10,mass,0.0880431817666966,0.022633897837371436,0.06540928392932516
dolphin-yi-34b::proponent,11,rapid rollout,0.1232401273380084,0.05801057897775764,0.06522954836025077
dolphin-yi-34b::proponent,12,simultaneous rise,0.06839366823180612,0.010680898874491378,0.057712769357314744
dolphin-yi-34b::proponent,13,simultaneous,0.06839366823180612,0.010680898874491378,0.057712769357314744
dolphin-yi-34b::proponent,14,technologies covid,0.06839366823180612,0.010680898874491378,0.057712769357314744
dolphin-yi-34b::proponent,15,concurrent rise,0.06911594022012643,0.01494170834938258,0.054174231870743855
dolphin-yi-34b::proponent,16,concurrent,0.06911594022012643,0.01494170834938258,0.054174231870743855
dolphin-yi-34b::proponent,17,population,0.09886347260765865,0.045009774975516274,0.05385369763214238
dolphin-yi-34b::proponent,18,population tracking,0.09886347260765865,0.045009774975516274,0.05385369763214238
dolphin-yi-34b::proponent,19,tracking control,0.09886347260765865,0.045009774975516274,0.05385369763214238
dolphin-yi-34b::proponent,20,control,0.09886347260765865,0.045009774975516274,0.05385369763214238
